exp_a,exp_b,stimulus,expertise_a,expertise_b,score
36,110,rectangle,none,none,0.7954755000677122
3,189,rectangle,none,none,0.7284506126096812
30,211,rectangle,none,none,0.7880194578074456
12,211,rectangle,none,none,0.765926098406124
28,196,rectangle,none,none,0.8456172137839104
96,110,rectangle,none,none,0.806017492052813
30,204,rectangle,none,none,0.8868229448438825
12,204,rectangle,none,none,0.8793484832676991
12,110,rectangle,none,none,0.7226307311801806
3,93,rectangle,none,none,0.7856301531334525
12,36,rectangle,none,none,0.7620473495411484
30,201,rectangle,none,none,0.7899142424500466
12,201,rectangle,none,none,0.7803149529547948
3,154,rectangle,none,none,0.7632161077470404
12,28,rectangle,none,none,0.7731383283917387
5,93,rectangle,none,none,0.8334996571040866
30,196,rectangle,none,none,0.8883720281619568
12,196,rectangle,none,none,0.8550536928272354
12,96,rectangle,none,none,0.7860430846060601
3,110,rectangle,none,none,0.7365399319128435
93,211,rectangle,none,none,0.8510458933026281
93,154,rectangle,none,none,0.8405432642760484
28,93,rectangle,none,none,0.8645149486620687
30,189,rectangle,none,none,0.7795476435875599
12,189,rectangle,none,none,0.7019596332769884
38,96,rectangle,none,none,0.8638650147410603
30,163,rectangle,none,none,0.8147569843749393
5,211,rectangle,none,none,0.7603895309581339
93,204,rectangle,none,none,0.8416778421747436
12,163,rectangle,none,none,0.7983460492291158
38,93,rectangle,none,none,0.7904258485373922
3,38,rectangle,none,none,0.7867816800632118
5,204,rectangle,none,none,0.8928073934983235
93,201,rectangle,none,none,0.7879609503122195
93,181,rectangle,none,none,0.7993188894856286
3,28,rectangle,none,none,0.7869342730486878
5,201,rectangle,none,none,0.8001485804139387
93,196,rectangle,none,none,0.9207497485641429
12,38,rectangle,none,none,0.7932596826688163
38,110,rectangle,none,none,0.8306319846832335
3,36,rectangle,none,none,0.7346775878853548
93,189,rectangle,none,none,0.8437082889122932
28,201,rectangle,none,none,0.8401388383655937
36,211,rectangle,none,none,0.8353843097019839
30,110,rectangle,none,none,0.8010459720937093
5,12,rectangle,none,none,0.7570033771880283
36,204,rectangle,none,none,0.8026355795391906
3,163,rectangle,none,none,0.7811482239155116
36,201,rectangle,none,none,0.7338540386185812
12,154,rectangle,none,none,0.7809804321061631
30,96,rectangle,none,none,0.833916458831703
5,28,rectangle,none,none,0.7841598446954672
36,196,rectangle,none,none,0.9083126497952445
30,93,rectangle,none,none,0.8178264202704723
5,196,rectangle,none,none,0.8587812420160096
36,189,rectangle,none,none,0.7966736826175267
93,163,rectangle,none,none,0.7760906374656635
3,211,rectangle,none,none,0.7538448706857482
3,30,rectangle,none,none,0.7495302978910773
36,181,rectangle,none,none,0.7338839257210571
30,38,rectangle,none,none,0.8259635944234937
5,163,rectangle,none,none,0.8244770094513876
36,163,rectangle,none,none,0.7529222340259972
30,181,rectangle,none,none,0.762867630879828
30,36,rectangle,none,none,0.7950024956124855
36,154,rectangle,none,none,0.8339440928431316
28,204,rectangle,none,none,0.9078497806835389
3,5,rectangle,none,none,0.7325315021718308
