exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
86,123,rectangle,high,high,0.9048114275869188,Java_high_results.csv
68,82,rectangle,high,high,0.7737863205068775,Java_high_results.csv
48,68,rectangle,high,high,0.7792913815942129,Java_high_results.csv
82,123,rectangle,high,high,0.8653492984302218,Java_high_results.csv
86,87,rectangle,high,high,0.8638567444924239,Java_high_results.csv
80,178,rectangle,high,high,0.8188846586051575,Java_high_results.csv
86,178,rectangle,high,high,0.8673697604743205,Java_high_results.csv
68,80,rectangle,high,high,0.8406595376406623,Java_high_results.csv
80,123,rectangle,high,high,0.8813221002756055,Java_high_results.csv
69,123,rectangle,high,high,0.8710211988710062,Java_high_results.csv
68,69,rectangle,high,high,0.787642505127567,Java_high_results.csv
48,123,rectangle,high,high,0.8134280257636652,Java_high_results.csv
69,178,rectangle,high,high,0.7989679145311781,Java_high_results.csv
48,69,rectangle,high,high,0.839278046152394,Java_high_results.csv
87,123,rectangle,high,high,0.856895843535107,Java_high_results.csv
82,178,rectangle,high,high,0.7798952955582252,Java_high_results.csv
80,82,rectangle,high,high,0.8425756779469254,Java_high_results.csv
48,87,rectangle,high,high,0.7839799260294757,Java_high_results.csv
80,87,rectangle,high,high,0.8688392427756862,Java_high_results.csv
68,123,rectangle,high,high,0.8199654883796288,Java_high_results.csv
87,178,rectangle,high,high,0.7506995408488033,Java_high_results.csv
69,87,rectangle,high,high,0.7791050009408003,Java_high_results.csv
48,86,rectangle,high,high,0.896696461910748,Java_high_results.csv
48,178,rectangle,high,high,0.7923488426749704,Java_high_results.csv
82,86,rectangle,high,high,0.8279013923028,Java_high_results.csv
69,86,rectangle,high,high,0.811626223260982,Java_high_results.csv
68,178,rectangle,high,high,0.724794739493835,Java_high_results.csv
48,82,rectangle,high,high,0.7987784438866876,Java_high_results.csv
68,87,rectangle,high,high,0.751921909603406,Java_high_results.csv
69,82,rectangle,high,high,0.7297962204386385,Java_high_results.csv
48,80,rectangle,high,high,0.8517001608492469,Java_high_results.csv
82,87,rectangle,high,high,0.768569763379533,Java_high_results.csv
68,86,rectangle,high,high,0.8604074928807234,Java_high_results.csv
69,80,rectangle,high,high,0.8748276678906979,Java_high_results.csv
80,86,rectangle,high,high,0.9349252349319528,Java_high_results.csv
123,178,rectangle,high,high,0.8280643579279955,Java_high_results.csv
13,126,rectangle,low,low,0.7922462214837822,Java_low_results.csv
21,101,rectangle,low,low,0.7568938661100361,Java_low_results.csv
27,64,rectangle,low,low,0.8796561254544859,Java_low_results.csv
21,37,rectangle,low,low,0.7802400752028078,Java_low_results.csv
21,179,rectangle,low,low,0.7679292029482024,Java_low_results.csv
13,56,rectangle,low,low,0.7961954560372533,Java_low_results.csv
13,128,rectangle,low,low,0.7722618769025265,Java_low_results.csv
