exp_a,exp_b,trial_id,expertise_a,expertise_b,score
48,87,5,high,high,0.8281085232517393
80,118,5,high,high,0.8757252260785735
80,86,5,high,high,0.903376031003233
48,118,5,high,high,0.8552735144917778
118,178,5,high,high,0.8270002946702576
48,86,5,high,high,0.8749971074018822
80,87,5,high,high,0.8960396289230403
69,118,5,high,high,0.820901761336783
48,82,5,high,high,0.7987784438866876
69,87,5,high,high,0.7707574175732949
68,87,5,high,high,0.7598523689228697
82,118,5,high,high,0.8227109040241597
68,178,5,high,high,0.6973288339179685
69,86,5,high,high,0.7176862861300227
69,178,5,high,high,0.8337789312927616
87,118,5,high,high,0.8347893983324665
82,87,5,high,high,0.8114299281689843
69,82,5,high,high,0.8112921236235646
68,82,5,high,high,0.8278858025537117
48,80,5,high,high,0.8517001608492469
68,86,5,high,high,0.7975166039347423
48,178,5,high,high,0.7866735626551915
86,178,5,high,high,0.8278494459180852
82,86,5,high,high,0.8071534173457107
86,87,5,high,high,0.7529829369688302
69,80,5,high,high,0.9120898456441693
68,80,5,high,high,0.8589456319112272
87,178,5,high,high,0.7999082795294994
80,178,5,high,high,0.8566551924467504
82,178,5,high,high,0.8560827889519321
80,82,5,high,high,0.8425756779469254
68,69,5,high,high,0.7889044582132012
68,118,5,high,high,0.810867515731986
48,68,5,high,high,0.8158937208881867
86,118,5,high,high,0.8208674218864259
48,69,5,high,high,0.8582688480199123
