exp_a,exp_b,trial_id,expertise_a,expertise_b,score
10,41,5,low,low,43.096418224137764
10,29,5,low,low,31.625117003890974
10,74,5,low,low,22.488165100346297
10,99,5,low,low,37.74968832655664
10,37,5,low,low,41.76400663543986
10,35,5,low,low,55.462961108744274
10,94,5,low,low,27.34984970930931
10,31,5,low,low,36.62370461185653
10,63,5,low,low,44.1943960150906
10,132,5,low,low,35.49216940872247
10,128,5,low,low,66.00330474361675
10,114,5,low,low,20.980855715976027
10,44,5,low,low,28.572944975127786
10,65,5,low,low,19.460905993518473
10,79,5,low,low,38.47838989098594
10,126,5,low,low,42.14462413774751
10,21,5,low,low,44.830775478762675
10,27,5,low,low,23.906090965249195
10,78,5,low,low,35.927420111070944
10,13,5,low,low,81.42826604073637
10,34,5,low,low,41.92926118613455
10,64,5,low,low,50.988720746500675
10,124,5,low,low,30.037107381397018
10,60,5,low,low,40.26348437803703
10,104,5,low,low,28.429292358706874
10,56,5,low,low,33.80563121997709
10,101,5,low,low,95.05527421681242
10,77,5,low,low,51.137162440115155
10,43,5,low,low,30.383985946911004
10,140,5,low,low,24.202293140571932
10,139,5,low,low,24.67072928474984
10,180,5,low,low,28.264554191652028
10,164,5,low,low,30.130180177442146
10,182,5,low,low,39.07165428575396
10,170,5,low,low,49.642355703577856
10,176,5,low,low,54.87953663230502
10,179,5,low,low,72.07453322961997
10,200,5,low,low,34.70061451430673
10,208,5,low,low,36.0521563667789
13,27,5,low,low,81.13014077664168
13,29,5,low,low,84.94340245985462
13,34,5,low,low,91.73895144815103
13,31,5,low,low,82.43207376120564
13,43,5,low,low,84.60803662986163
13,35,5,low,low,95.78091743791222
13,37,5,low,low,89.38056243638368
13,21,5,low,low,90.3872299870964
13,44,5,low,low,83.19213568122827
13,41,5,low,low,88.55571582865328
13,56,5,low,low,84.87358082390976
13,74,5,low,low,76.34878054376503
13,65,5,low,low,78.46969414461057
13,60,5,low,low,90.02080483861077
13,63,5,low,low,94.7091050349112
13,94,5,low,low,80.24636726030718
13,78,5,low,low,86.00271025471397
13,64,5,low,low,100.69755613027915
13,79,5,low,low,88.63974005721558
13,77,5,low,low,98.20210789561332
13,99,5,low,low,85.84301420270336
13,114,5,low,low,75.85872643960134
13,104,5,low,low,84.23710435673622
13,124,5,low,low,83.69322744559307
13,140,5,low,low,79.64578483832206
13,139,5,low,low,77.84560241284652
13,126,5,low,low,92.67489900939655
13,132,5,low,low,87.34379463559122
13,164,5,low,low,83.51724555279615
13,128,5,low,low,105.26829370560102
13,180,5,low,low,82.46684707015521
13,170,5,low,low,93.09112827379218
13,176,5,low,low,96.13417872439386
13,101,5,low,low,129.4392219934686
13,200,5,low,low,90.28209520887484
21,27,5,low,low,42.29151908261181
13,182,5,low,low,90.51415190034932
21,29,5,low,low,49.36984291230291
13,179,5,low,low,117.12183757035696
13,208,5,low,low,88.11618933933237
21,31,5,low,low,50.37912547883486
21,34,5,low,low,56.1395459505944
21,43,5,low,low,47.86930827621109
21,37,5,low,low,56.296925985242076
21,35,5,low,low,66.94463430098511
21,56,5,low,low,49.91133543526068
21,41,5,low,low,57.463486251531265
21,44,5,low,low,46.05488318585437
21,65,5,low,low,39.36043244348592
21,74,5,low,low,40.101533953481926
21,60,5,low,low,54.76549185888053
21,63,5,low,low,59.22447045343502
21,78,5,low,low,52.55128359779928
21,94,5,low,low,40.382606792010044
21,79,5,low,low,51.35727862358541
21,64,5,low,low,64.90717178945363
21,77,5,low,low,65.19293990921719
21,99,5,low,low,49.25507215405555
21,114,5,low,low,39.14026216498198
21,104,5,low,low,46.678506792997474
21,124,5,low,low,46.30371597500058
21,139,5,low,low,41.954680818711005
21,140,5,low,low,42.3708701080635
21,126,5,low,low,54.92981377247063
21,132,5,low,low,49.36855678048848
21,164,5,low,low,46.243148918810924
21,128,5,low,low,78.76218804495012
21,180,5,low,low,45.74322412635663
21,170,5,low,low,62.07283846584221
27,29,5,low,low,24.99626256730664
21,182,5,low,low,53.92547816846634
21,101,5,low,low,102.0336150669778
21,176,5,low,low,63.5364992885512
21,200,5,low,low,54.04897095663165
27,31,5,low,low,35.0557805861448
21,208,5,low,low,50.80380311213761
27,34,5,low,low,37.81181792531292
27,35,5,low,low,55.37247719234572
21,179,5,low,low,83.18080047359501
27,37,5,low,low,41.6916595540892
27,43,5,low,low,24.644091681734597
27,41,5,low,low,41.758073008366935
27,44,5,low,low,21.910529103340654
27,56,5,low,low,28.264664747083316
27,60,5,low,low,32.65144685414351
27,65,5,low,low,16.39691409435283
27,63,5,low,low,38.01204872396799
27,74,5,low,low,19.18936160541257
27,64,5,low,low,45.098210239800586
27,78,5,low,low,31.045339504887306
27,79,5,low,low,33.036148369124504
27,77,5,low,low,45.1530566697827
27,94,5,low,low,23.072469860462057
27,99,5,low,low,33.166089985596784
27,104,5,low,low,25.14238859032746
27,114,5,low,low,17.34902332326331
27,124,5,low,low,23.12205195919445
27,126,5,low,low,35.55372332709382
27,132,5,low,low,31.120928835376628
27,139,5,low,low,22.317176768552194
27,140,5,low,low,18.284842769582887
27,128,5,low,low,66.46878357782019
27,101,5,low,low,94.0242762044054
27,164,5,low,low,25.106640879504866
27,170,5,low,low,46.554603396869844
27,180,5,low,low,22.58762382426295
27,176,5,low,low,53.15389048171423
27,182,5,low,low,32.721109066599006
