exp_a,exp_b,trial_id,expertise_a,expertise_b,score
3,12,5,none,none,21.902054916048225
3,110,5,none,none,21.163140414960786
3,5,5,none,none,23.20919690287267
5,154,5,none,none,43.35134042261411
5,96,5,none,none,46.174783603537165
5,93,5,none,none,21.233359121752503
3,36,5,none,none,18.898912166940256
3,30,5,none,none,21.244686763424696
3,93,5,none,none,17.67039340427761
5,110,5,none,none,19.72408024263935
5,12,5,none,none,28.04606149698272
3,181,5,none,none,23.92167237635661
5,36,5,none,none,20.919516009283004
3,28,5,none,none,24.958375214418435
3,204,5,none,none,13.738173315326224
5,30,5,none,none,26.30172193782139
5,28,5,none,none,23.58099485013698
3,189,5,none,none,25.664771983464288
3,201,5,none,none,18.812347046565876
3,96,5,none,none,39.945787763401604
3,163,5,none,none,23.271967886890923
3,154,5,none,none,37.24189319362459
3,211,5,none,none,32.09503540928985
3,196,5,none,none,63.735408030999736
5,204,5,none,none,17.770545085850493
5,201,5,none,none,22.032623649672203
12,28,5,none,none,29.39830361639852
5,181,5,none,none,23.920302458101542
5,163,5,none,none,27.444618310999925
5,189,5,none,none,32.58242695040152
5,211,5,none,none,30.65006617194008
12,30,5,none,none,25.617484769023243
12,36,5,none,none,23.09903931991871
12,93,5,none,none,21.957393317553883
12,110,5,none,none,25.70036476698648
12,96,5,none,none,42.534363394203126
12,163,5,none,none,27.325788573014176
5,196,5,none,none,69.48303058957886
12,181,5,none,none,28.261414548744522
12,154,5,none,none,41.57315036187528
12,189,5,none,none,27.845334732831574
12,201,5,none,none,22.60736457588243
12,204,5,none,none,18.132165724979956
28,30,5,none,none,28.2322184239522
12,211,5,none,none,37.32173403669153
28,36,5,none,none,22.444394778073207
28,93,5,none,none,22.45538846433007
28,110,5,none,none,21.351532522858225
28,96,5,none,none,46.47449150220688
12,196,5,none,none,65.97594293854948
28,163,5,none,none,28.462581634875747
28,181,5,none,none,23.9305533391842
28,154,5,none,none,45.78563198877436
28,189,5,none,none,33.97269516419398
28,204,5,none,none,19.54856397162014
28,201,5,none,none,21.854227881932314
28,211,5,none,none,30.01428120527833
30,93,5,none,none,20.91999983051868
30,36,5,none,none,22.673972769939848
30,110,5,none,none,24.65448759103202
28,196,5,none,none,71.03089485632299
30,96,5,none,none,44.00076803379598
30,163,5,none,none,26.789209646248004
30,181,5,none,none,26.961021976099754
30,204,5,none,none,17.0908517930313
30,154,5,none,none,40.63675823119065
30,189,5,none,none,29.872265702275296
30,201,5,none,none,21.99600681373805
36,93,5,none,none,16.75736827087065
30,211,5,none,none,35.9317614508131
36,96,5,none,none,42.89897762121709
36,110,5,none,none,19.36925825642049
36,181,5,none,none,21.813532375574642
36,163,5,none,none,22.98456321089166
30,196,5,none,none,67.34926019901427
36,189,5,none,none,27.909312436949122
36,154,5,none,none,40.92789193457177
36,204,5,none,none,13.17261940084975
36,201,5,none,none,18.809924458983712
36,211,5,none,none,29.62685668361882
93,110,5,none,none,19.87044645407109
93,181,5,none,none,22.165698239831176
93,163,5,none,none,20.976177749421954
93,96,5,none,none,41.358530732571545
36,196,5,none,none,65.44294537551127
93,189,5,none,none,27.393520724404333
93,154,5,none,none,38.69188754115506
93,201,5,none,none,17.648483665310714
93,204,5,none,none,11.295316641985059
93,211,5,none,none,30.821379368282255
96,110,5,none,none,43.982432510719086
93,196,5,none,none,64.41565240954745
96,181,5,none,none,46.36195156762161
96,163,5,none,none,45.25290794963333
96,204,5,none,none,37.647414331987676
96,189,5,none,none,45.37782816777687
96,201,5,none,none,40.578017194847135
96,154,5,none,none,57.38830829721891
110,163,5,none,none,25.517553404734315
96,211,5,none,none,53.40650531900538
110,181,5,none,none,21.268452568352664
110,201,5,none,none,17.410308338483105
110,189,5,none,none,30.211685689366192
110,154,5,none,none,42.07803940562549
110,204,5,none,none,16.04640533703122
110,211,5,none,none,27.798214852894603
96,196,5,none,none,80.90456221807634
110,196,5,none,none,67.98903839698559
154,201,5,none,none,40.471944178075084
154,204,5,none,none,36.16079484519068
154,181,5,none,none,44.641369220181595
154,163,5,none,none,42.109502867585846
154,189,5,none,none,44.39057777105817
163,181,5,none,none,28.19033146059654
163,204,5,none,none,17.678240649624712
163,201,5,none,none,23.655758885206623
154,211,5,none,none,51.69596297332138
163,189,5,none,none,31.31138196015411
181,189,5,none,none,32.86217328623284
163,211,5,none,none,36.08570503468508
181,201,5,none,none,20.924674147317557
181,204,5,none,none,18.54111056438541
181,211,5,none,none,30.431617916124427
163,196,5,none,none,68.83225842334949
189,201,5,none,none,27.565141717088952
189,204,5,none,none,22.751820880497025
181,196,5,none,none,70.82317980443257
154,196,5,none,none,80.70395200297419
189,211,5,none,none,40.94459548952553
201,204,5,none,none,13.678354098700716
196,204,5,none,none,60.87544685162285
204,211,5,none,none,28.15200383827133
196,201,5,none,none,64.45146452437395
201,211,5,none,none,28.297337823272578
189,196,5,none,none,70.01868636986873
196,211,5,none,none,75.74499611651798
