exp_a,exp_b,stimulus,expertise_a,expertise_b,score
1,87,vehicle,high,high,0.8685255680532542
26,178,vehicle,high,high,0.8036382399761595
48,86,vehicle,high,high,0.7701524807251111
26,87,vehicle,high,high,0.7862071632646526
26,48,vehicle,high,high,0.7612760081412063
82,118,vehicle,high,high,0.8085236206206865
1,82,vehicle,high,high,0.832043464236367
1,26,vehicle,high,high,0.8349198352439706
86,87,vehicle,high,high,0.7529829369688302
69,178,vehicle,high,high,0.8337789312927616
48,82,vehicle,high,high,0.727555098633825
86,118,vehicle,high,high,0.8208674218864259
82,87,vehicle,high,high,0.7573765303695024
26,82,vehicle,high,high,0.7707780027230655
1,68,vehicle,high,high,0.8274692806131144
80,86,vehicle,high,high,0.9124526978454159
1,118,vehicle,high,high,0.7661597088631492
1,86,vehicle,high,high,0.8185112527443933
87,178,vehicle,high,high,0.7999082795294994
82,86,vehicle,high,high,0.726817663344235
48,80,vehicle,high,high,0.8647638553527739
26,80,vehicle,high,high,0.8573636921163712
1,80,vehicle,high,high,0.8368600021393909
68,178,vehicle,high,high,0.6973288339179685
48,69,vehicle,high,high,0.7652100192475263
68,118,vehicle,high,high,0.810867515731986
87,118,vehicle,high,high,0.8347893983324665
69,87,vehicle,high,high,0.7707574175732949
1,48,vehicle,high,high,0.8178137625768903
80,178,vehicle,high,high,0.8540655162510687
48,68,vehicle,high,high,0.7347849253305486
68,87,vehicle,high,high,0.7598523689228697
82,178,vehicle,high,high,0.7856475965373633
69,86,vehicle,high,high,0.7176862861300227
118,178,vehicle,high,high,0.8270002946702576
68,86,vehicle,high,high,0.7975166039347423
69,118,vehicle,high,high,0.820901761336783
26,69,vehicle,high,high,0.7842011071576066
80,118,vehicle,high,high,0.8309268321624982
69,82,vehicle,high,high,0.7439686948374246
68,82,vehicle,high,high,0.7617114154358542
1,69,vehicle,high,high,0.8259867640677
26,68,vehicle,high,high,0.7733367787845117
48,118,vehicle,high,high,0.793925632118807
80,87,vehicle,high,high,0.9084258534227324
69,80,vehicle,high,high,0.8889810600499418
80,82,vehicle,high,high,0.8903595795086968
68,80,vehicle,high,high,0.8514420206471358
86,178,vehicle,high,high,0.8278494459180852
26,86,vehicle,high,high,0.7977451263000598
48,87,vehicle,high,high,0.7638795659548565
26,118,vehicle,high,high,0.8205399732225435
68,69,vehicle,high,high,0.7889044582132012
48,178,vehicle,high,high,0.7394932157934906
1,178,vehicle,high,high,0.8268714390918758
