exp_a,exp_b,stimulus,expertise_a,expertise_b,score
10,60,vehicle,low,low,0.820890047450555
13,170,vehicle,low,low,0.7821469355889109
13,27,vehicle,low,low,0.9283620433096397
27,41,vehicle,low,low,0.8974813511290837
21,65,vehicle,low,low,0.8824417640455098
10,63,vehicle,low,low,0.7697979300766775
13,77,vehicle,low,low,0.7810074535429483
13,172,vehicle,low,low,0.8350691999045694
13,29,vehicle,low,low,0.8517805516373582
10,65,vehicle,low,low,0.7895531480655013
27,44,vehicle,low,low,0.8653027128748543
13,43,vehicle,low,low,0.8213114029216854
13,176,vehicle,low,low,0.7681639237094788
13,31,vehicle,low,low,0.7853366274265999
13,34,vehicle,low,low,0.8203231525236891
21,74,vehicle,low,low,0.8280650440547188
13,35,vehicle,low,low,0.758504525308944
21,77,vehicle,low,low,0.80011469937051
13,37,vehicle,low,low,0.8002127420532846
27,35,vehicle,low,low,0.909671364239365
10,94,vehicle,low,low,0.8300913472535303
27,34,vehicle,low,low,0.8885430510855518
13,56,vehicle,low,low,0.8181257439099511
10,13,vehicle,low,low,0.8747450373918912
10,41,vehicle,low,low,0.825918325491333
27,31,vehicle,low,low,0.8741330987792828
10,44,vehicle,low,low,0.841330756625657
21,78,vehicle,low,low,0.8385037497753807
13,60,vehicle,low,low,0.7843702727031132
10,31,vehicle,low,low,0.8156727085045998
13,183,vehicle,low,low,0.7952636069267419
27,37,vehicle,low,low,0.8854459511889798
10,79,vehicle,low,low,0.8182511699444411
13,63,vehicle,low,low,0.8323883797507741
27,29,vehicle,low,low,0.8853591731604908
10,29,vehicle,low,low,0.8471769568382992
13,64,vehicle,low,low,0.8100138456997862
13,179,vehicle,low,low,0.8078298363343236
13,180,vehicle,low,low,0.8265451460355512
13,200,vehicle,low,low,0.8643542780806438
21,99,vehicle,low,low,0.7582836405267496
13,78,vehicle,low,low,0.8690982217556219
13,65,vehicle,low,low,0.9263114333814639
21,200,vehicle,low,low,0.8648661298164568
13,99,vehicle,low,low,0.8170545020435482
21,94,vehicle,low,low,0.7633185920159165
21,27,vehicle,low,low,0.9014647040478593
10,43,vehicle,low,low,0.8347863650740663
21,183,vehicle,low,low,0.7931744935940412
13,41,vehicle,low,low,0.7889572344949687
21,29,vehicle,low,low,0.7986018539929376
13,74,vehicle,low,low,0.8623472998979514
21,182,vehicle,low,low,0.8297756645639592
21,31,vehicle,low,low,0.7767843449925196
10,35,vehicle,low,low,0.837657239001152
21,180,vehicle,low,low,0.8049182870257937
21,34,vehicle,low,low,0.7784286338377113
21,164,vehicle,low,low,0.8278475215003532
10,164,vehicle,low,low,0.8413652891896641
13,79,vehicle,low,low,0.782068990719549
21,179,vehicle,low,low,0.7786897547004635
13,182,vehicle,low,low,0.8141260278197686
21,35,vehicle,low,low,0.7769082989158981
13,101,vehicle,low,low,0.7802619896888856
10,128,vehicle,low,low,0.8495508513568546
21,41,vehicle,low,low,0.7965992881713881
21,176,vehicle,low,low,0.7471366332143837
10,124,vehicle,low,low,0.8327455924287435
27,56,vehicle,low,low,0.8931785636875644
10,21,vehicle,low,low,0.846183002619152
13,104,vehicle,low,low,0.8855132490616455
21,170,vehicle,low,low,0.7866083544434586
27,60,vehicle,low,low,0.8742429664962422
21,79,vehicle,low,low,0.7629702333030575
21,64,vehicle,low,low,0.7912999579802242
10,99,vehicle,low,low,0.8388819628123697
27,63,vehicle,low,low,0.8615207993878997
21,101,vehicle,low,low,0.8111811920989775
13,114,vehicle,low,low,0.878604661102633
10,101,vehicle,low,low,0.8982053352308691
27,64,vehicle,low,low,0.9204981253158994
10,132,vehicle,low,low,0.845776603963456
21,104,vehicle,low,low,0.84839161746633
13,94,vehicle,low,low,0.8627528411420804
13,124,vehicle,low,low,0.8436957838311924
10,104,vehicle,low,low,0.8107829214780653
10,37,vehicle,low,low,0.8088783435745247
27,65,vehicle,low,low,0.8132271212387976
21,43,vehicle,low,low,0.7679376183355042
10,139,vehicle,low,low,0.7780600884555898
21,114,vehicle,low,low,0.8466054283825484
13,128,vehicle,low,low,0.7641648545660515
27,43,vehicle,low,low,0.8727376784849002
10,140,vehicle,low,low,0.787299099251796
21,124,vehicle,low,low,0.7998901629373916
10,170,vehicle,low,low,0.8420238093421849
27,74,vehicle,low,low,0.8160870526552189
10,172,vehicle,low,low,0.8393830941148765
21,126,vehicle,low,low,0.755010718403476
27,77,vehicle,low,low,0.9015523101453893
10,176,vehicle,low,low,0.8432108756730535
21,128,vehicle,low,low,0.8065929465524139
21,37,vehicle,low,low,0.7864017151651403
27,78,vehicle,low,low,0.8137110620820925
10,179,vehicle,low,low,0.8627833120687977
21,132,vehicle,low,low,0.7972958136383799
10,74,vehicle,low,low,0.7898344022318874
27,79,vehicle,low,low,0.8904706943773294
10,180,vehicle,low,low,0.7958080147789902
10,34,vehicle,low,low,0.8279500915464838
21,172,vehicle,low,low,0.7638221525414054
13,132,vehicle,low,low,0.8560767106636533
21,44,vehicle,low,low,0.7683957526194327
10,64,vehicle,low,low,0.8714738081410306
10,77,vehicle,low,low,0.8393358595874681
27,94,vehicle,low,low,0.8547060192899596
13,139,vehicle,low,low,0.8482500371883201
10,182,vehicle,low,low,0.8578126970082407
21,139,vehicle,low,low,0.8120679935489122
10,126,vehicle,low,low,0.8472386743029935
21,56,vehicle,low,low,0.819754331611382
10,78,vehicle,low,low,0.7647132756859097
10,114,vehicle,low,low,0.7984798186929529
13,140,vehicle,low,low,0.8332592469624802
10,183,vehicle,low,low,0.822044616198698
21,60,vehicle,low,low,0.7823251641958132
27,99,vehicle,low,low,0.8790008243128694
21,140,vehicle,low,low,0.8112459968043089
10,27,vehicle,low,low,0.8386117683027405
10,56,vehicle,low,low,0.7819498354139787
21,63,vehicle,low,low,0.8115281140929067
13,44,vehicle,low,low,0.8211127555366775
27,101,vehicle,low,low,0.9423404707907875
10,200,vehicle,low,low,0.7794685038760629
13,126,vehicle,low,low,0.821670108698007
13,164,vehicle,low,low,0.8392268656758289
13,21,vehicle,low,low,0.7995756518443827
27,114,vehicle,low,low,0.7387970644267664
27,140,vehicle,low,low,0.8533955310035025
27,104,vehicle,low,low,0.8361781760714209
27,126,vehicle,low,low,0.9069514432897954
27,139,vehicle,low,low,0.8423002366256279
27,179,vehicle,low,low,0.9305880468075839
27,176,vehicle,low,low,0.9023284738417275
27,180,vehicle,low,low,0.8610635935911951
27,182,vehicle,low,low,0.904836447896593
27,128,vehicle,low,low,0.9318492655275322
27,172,vehicle,low,low,0.8948102373484247
27,164,vehicle,low,low,0.8238070509980704
27,200,vehicle,low,low,0.8407636220142249
29,34,vehicle,low,low,0.81192693205739
27,183,vehicle,low,low,0.8755101951219068
27,124,vehicle,low,low,0.8664965702512879
27,170,vehicle,low,low,0.8869084712075042
27,132,vehicle,low,low,0.8825014867279837
29,56,vehicle,low,low,0.8107237823839543
29,78,vehicle,low,low,0.8229258828295819
29,35,vehicle,low,low,0.8488496399988322
29,37,vehicle,low,low,0.8066431938584793
29,63,vehicle,low,low,0.8310493177979287
29,41,vehicle,low,low,0.8271564189772742
29,44,vehicle,low,low,0.8347110188418524
29,65,vehicle,low,low,0.8602022065193565
29,114,vehicle,low,low,0.8203676864711525
29,104,vehicle,low,low,0.8409739521578802
29,74,vehicle,low,low,0.813378483476451
29,139,vehicle,low,low,0.8328025525239162
29,124,vehicle,low,low,0.7836873848753036
29,126,vehicle,low,low,0.8033644478863026
29,164,vehicle,low,low,0.7913420598902632
29,94,vehicle,low,low,0.7791848844185125
29,132,vehicle,low,low,0.7895506679268883
29,31,vehicle,low,low,0.8215037392130959
