exp_a,exp_b,stimulus,expertise_a,expertise_b,score
4,58,vehicle,medium,medium,0.7529903262792702
6,19,vehicle,medium,medium,0.8200298562776682
6,91,vehicle,medium,medium,0.8543335167715489
4,66,vehicle,medium,medium,0.9067062050494353
4,105,vehicle,medium,medium,0.8256876581983114
6,18,vehicle,medium,medium,0.789675209014883
6,89,vehicle,medium,medium,0.8542671695121453
4,51,vehicle,medium,medium,0.7882011169825957
4,42,vehicle,medium,medium,0.8236815079734102
6,17,vehicle,medium,medium,0.8289818614547191
4,50,vehicle,medium,medium,0.8356863809422479
4,171,vehicle,medium,medium,0.797840205209413
6,88,vehicle,medium,medium,0.8611871526923349
4,40,vehicle,medium,medium,0.831141471324668
6,16,vehicle,medium,medium,0.8316248675946291
6,84,vehicle,medium,medium,0.7912857401554254
6,151,vehicle,medium,medium,0.8861475218912688
6,83,vehicle,medium,medium,0.845176887597223
6,147,vehicle,medium,medium,0.787446216154728
6,81,vehicle,medium,medium,0.807985165012659
4,16,vehicle,medium,medium,0.7513060166957004
4,210,vehicle,medium,medium,0.7752308105174884
4,215,vehicle,medium,medium,0.831152887346846
6,145,vehicle,medium,medium,0.8033379266646821
6,75,vehicle,medium,medium,0.8400233973004015
4,19,vehicle,medium,medium,0.8546704335095134
4,169,vehicle,medium,medium,0.8029763012424299
4,214,vehicle,medium,medium,0.7869228808519776
6,143,vehicle,medium,medium,0.8383898022141154
6,73,vehicle,medium,medium,0.8337704996887494
4,108,vehicle,medium,medium,0.8603886543339426
6,24,vehicle,medium,medium,0.8749101034570235
4,17,vehicle,medium,medium,0.785129131043783
6,142,vehicle,medium,medium,0.8280987768309691
6,72,vehicle,medium,medium,0.7982022492978466
4,206,vehicle,medium,medium,0.7121910248937002
6,135,vehicle,medium,medium,0.8184048518036932
4,203,vehicle,medium,medium,0.9058095683487205
6,57,vehicle,medium,medium,0.8290572001117732
6,70,vehicle,medium,medium,0.8595420737800157
6,133,vehicle,medium,medium,0.8061316793785279
4,57,vehicle,medium,medium,0.8026832680160796
4,61,vehicle,medium,medium,0.7678139058836123
4,202,vehicle,medium,medium,0.7859789072768927
4,55,vehicle,medium,medium,0.7526311587315131
4,6,vehicle,medium,medium,0.7964034335751788
4,197,vehicle,medium,medium,0.7704667817700808
4,83,vehicle,medium,medium,0.8006530387328561
6,61,vehicle,medium,medium,0.7714528469249339
4,18,vehicle,medium,medium,0.7993281019750275
4,190,vehicle,medium,medium,0.7884832612512916
6,25,vehicle,medium,medium,0.8222946601844174
4,62,vehicle,medium,medium,0.869115436792989
4,53,vehicle,medium,medium,0.8332876057044893
4,25,vehicle,medium,medium,0.8266159255918971
4,54,vehicle,medium,medium,0.8247742812745569
6,210,vehicle,medium,medium,0.8219512809832471
4,192,vehicle,medium,medium,0.7796034200462743
4,142,vehicle,medium,medium,0.8012069269874348
4,20,vehicle,medium,medium,0.7982364017761205
6,117,vehicle,medium,medium,0.83930984089309
4,133,vehicle,medium,medium,0.8133824902208654
6,207,vehicle,medium,medium,0.8465619365519286
4,191,vehicle,medium,medium,0.7345327365354141
4,73,vehicle,medium,medium,0.7787961321511244
4,97,vehicle,medium,medium,0.7503204830566294
4,32,vehicle,medium,medium,0.7228128124656771
6,206,vehicle,medium,medium,0.7956314517051836
4,72,vehicle,medium,medium,0.7724287090901965
4,91,vehicle,medium,medium,0.7898516522930317
6,115,vehicle,medium,medium,0.8427897001235215
6,158,vehicle,medium,medium,0.8352004061442125
4,33,vehicle,medium,medium,0.8020555101586646
6,203,vehicle,medium,medium,0.8815712991275162
4,70,vehicle,medium,medium,0.8414840302592446
6,105,vehicle,medium,medium,0.8708403532793251
4,89,vehicle,medium,medium,0.7764119381365804
6,62,vehicle,medium,medium,0.8461999797919153
6,202,vehicle,medium,medium,0.8532326603675616
4,81,vehicle,medium,medium,0.8606559286222086
4,143,vehicle,medium,medium,0.7956809679385344
4,88,vehicle,medium,medium,0.8537643180606002
4,117,vehicle,medium,medium,0.7781100575486867
6,197,vehicle,medium,medium,0.7986823095887878
4,168,vehicle,medium,medium,0.810027543585954
4,84,vehicle,medium,medium,0.7178463126975384
4,115,vehicle,medium,medium,0.792558789813276
4,166,vehicle,medium,medium,0.8987692535175639
6,192,vehicle,medium,medium,0.7735714353071992
4,158,vehicle,medium,medium,0.7467769350155298
6,108,vehicle,medium,medium,0.847576716423253
6,58,vehicle,medium,medium,0.8223159653289644
6,191,vehicle,medium,medium,0.7924175447804797
4,155,vehicle,medium,medium,0.8239406109961166
4,75,vehicle,medium,medium,0.8028563625630563
6,66,vehicle,medium,medium,0.9074028253265073
6,190,vehicle,medium,medium,0.7880717332487361
4,151,vehicle,medium,medium,0.8422703428429213
6,55,vehicle,medium,medium,0.8707748746845118
4,147,vehicle,medium,medium,0.8082424764986886
6,54,vehicle,medium,medium,0.7577942175154341
6,171,vehicle,medium,medium,0.8439051108908044
4,207,vehicle,medium,medium,0.7552108517792074
4,145,vehicle,medium,medium,0.7890908119926949
6,32,vehicle,medium,medium,0.7923607147535061
6,53,vehicle,medium,medium,0.7823325826462129
6,169,vehicle,medium,medium,0.7755735644343635
4,24,vehicle,medium,medium,0.8182947130338397
6,51,vehicle,medium,medium,0.8149932988715931
6,50,vehicle,medium,medium,0.8635057839035862
4,135,vehicle,medium,medium,0.7921825727773034
6,42,vehicle,medium,medium,0.8295067556694805
6,168,vehicle,medium,medium,0.8378941930865174
6,40,vehicle,medium,medium,0.8042905593575463
6,155,vehicle,medium,medium,0.8244152972064845
