exp_a,exp_b,stimulus,expertise_a,expertise_b,score
3,28,vehicle,none,none,0.7268370324399135
3,106,vehicle,none,none,0.7922653213110831
36,96,vehicle,none,none,0.8108840603399919
96,189,vehicle,none,none,0.7481343006599863
12,189,vehicle,none,none,0.7679645976741591
36,93,vehicle,none,none,0.8312464670999448
96,181,vehicle,none,none,0.7569826615304862
12,141,vehicle,none,none,0.7373473157684054
3,204,vehicle,none,none,0.93346362053992
3,59,vehicle,none,none,0.8512230291977206
36,59,vehicle,none,none,0.8401639735038182
28,204,vehicle,none,none,0.9375308996905782
12,181,vehicle,none,none,0.772878033242321
96,163,vehicle,none,none,0.8018386559465355
12,116,vehicle,none,none,0.7185738925426552
3,201,vehicle,none,none,0.7976316686281084
3,36,vehicle,none,none,0.804879180679383
5,59,vehicle,none,none,0.8324990956648909
96,154,vehicle,none,none,0.7944371309774165
12,110,vehicle,none,none,0.7747499423681158
30,216,vehicle,none,none,0.8109066321962811
5,96,vehicle,none,none,0.7302551461577429
3,181,vehicle,none,none,0.7623083317392086
12,106,vehicle,none,none,0.8482966006030173
96,141,vehicle,none,none,0.7505542536836529
30,211,vehicle,none,none,0.7310567864000548
3,116,vehicle,none,none,0.7843268537627419
12,96,vehicle,none,none,0.7439717861305676
96,116,vehicle,none,none,0.7158196658865542
36,216,vehicle,none,none,0.8010973226642751
12,28,vehicle,none,none,0.7823640514190978
30,201,vehicle,none,none,0.7733117163846299
12,93,vehicle,none,none,0.9171187934180498
96,110,vehicle,none,none,0.7387772527225247
93,116,vehicle,none,none,0.8983844441743492
36,110,vehicle,none,none,0.7551956587812105
28,201,vehicle,none,none,0.75079798962252
36,211,vehicle,none,none,0.7897967765946582
5,216,vehicle,none,none,0.8174848943741903
5,181,vehicle,none,none,0.7248576502455013
30,196,vehicle,none,none,0.813785029826074
28,189,vehicle,none,none,0.6760272097306324
12,36,vehicle,none,none,0.8425631410487835
5,36,vehicle,none,none,0.7543457381105945
96,106,vehicle,none,none,0.8254478593700152
93,110,vehicle,none,none,0.8447488600720865
5,154,vehicle,none,none,0.806698937350387
59,96,vehicle,none,none,0.8111817368233978
36,204,vehicle,none,none,0.9028647349903094
5,211,vehicle,none,none,0.7237665573802796
12,163,vehicle,none,none,0.8101492918374031
30,189,vehicle,none,none,0.7188827313992429
28,181,vehicle,none,none,0.6951706175686787
5,30,vehicle,none,none,0.7006088301377676
93,216,vehicle,none,none,0.8077955902401384
93,106,vehicle,none,none,0.8664875260838085
5,141,vehicle,none,none,0.7636600280013517
36,201,vehicle,none,none,0.8232635004807296
5,204,vehicle,none,none,0.9157578370692546
59,93,vehicle,none,none,0.9043765783927017
3,5,vehicle,none,none,0.7491500266027731
93,141,vehicle,none,none,0.8873129023153512
30,181,vehicle,none,none,0.719956823616019
28,163,vehicle,none,none,0.7596802312242968
93,211,vehicle,none,none,0.8699829924071787
93,96,vehicle,none,none,0.8883430211089334
5,116,vehicle,none,none,0.7265098010538353
36,196,vehicle,none,none,0.8491151494813454
30,154,vehicle,none,none,0.8074458484733075
5,201,vehicle,none,none,0.7958612790663273
28,154,vehicle,none,none,0.8137980062323241
93,204,vehicle,none,none,0.865923460564612
59,216,vehicle,none,none,0.8868444946841582
5,110,vehicle,none,none,0.6470305813751263
36,189,vehicle,none,none,0.7662786695658549
30,141,vehicle,none,none,0.7685909473165566
5,196,vehicle,none,none,0.8070704642416894
28,141,vehicle,none,none,0.733934624005674
5,189,vehicle,none,none,0.7328324781528148
93,201,vehicle,none,none,0.8595143276527734
59,211,vehicle,none,none,0.7787818545644948
5,106,vehicle,none,none,0.7728877719129592
36,181,vehicle,none,none,0.7745182635838177
5,12,vehicle,none,none,0.7933232940211601
5,163,vehicle,none,none,0.7875952626461613
28,116,vehicle,none,none,0.730462835571139
93,196,vehicle,none,none,0.8964950712187277
59,204,vehicle,none,none,0.9479697772407407
36,163,vehicle,none,none,0.7956402960945838
12,59,vehicle,none,none,0.8124214356290075
28,110,vehicle,none,none,0.6691592241086318
59,201,vehicle,none,none,0.8347889405436545
59,110,vehicle,none,none,0.8168125900695619
93,189,vehicle,none,none,0.8364094509703927
36,154,vehicle,none,none,0.857031501216057
30,163,vehicle,none,none,0.7833646300522017
28,196,vehicle,none,none,0.8399138159502975
28,106,vehicle,none,none,0.7885265706660609
59,196,vehicle,none,none,0.8473838219376975
3,96,vehicle,none,none,0.782758899667691
36,141,vehicle,none,none,0.8128764920213353
28,96,vehicle,none,none,0.7348345135025679
59,189,vehicle,none,none,0.8127432024560989
12,154,vehicle,none,none,0.7467405163506157
12,30,vehicle,none,none,0.7877523267586443
59,181,vehicle,none,none,0.8256008294969026
