exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
1,87,vehicle,high,high,0.8685255680532542,Java_high_results.csv
26,178,vehicle,high,high,0.8036382399761595,Java_high_results.csv
48,86,vehicle,high,high,0.7701524807251111,Java_high_results.csv
26,87,vehicle,high,high,0.7862071632646526,Java_high_results.csv
26,48,vehicle,high,high,0.7612760081412063,Java_high_results.csv
82,118,vehicle,high,high,0.8085236206206865,Java_high_results.csv
1,82,vehicle,high,high,0.832043464236367,Java_high_results.csv
1,26,vehicle,high,high,0.8349198352439706,Java_high_results.csv
86,87,vehicle,high,high,0.7529829369688302,Java_high_results.csv
69,178,vehicle,high,high,0.8337789312927616,Java_high_results.csv
48,82,vehicle,high,high,0.727555098633825,Java_high_results.csv
86,118,vehicle,high,high,0.8208674218864259,Java_high_results.csv
82,87,vehicle,high,high,0.7573765303695024,Java_high_results.csv
26,82,vehicle,high,high,0.7707780027230655,Java_high_results.csv
1,68,vehicle,high,high,0.8274692806131144,Java_high_results.csv
80,86,vehicle,high,high,0.912452697845416,Java_high_results.csv
1,118,vehicle,high,high,0.7661597088631492,Java_high_results.csv
1,86,vehicle,high,high,0.8185112527443933,Java_high_results.csv
87,178,vehicle,high,high,0.7999082795294994,Java_high_results.csv
82,86,vehicle,high,high,0.726817663344235,Java_high_results.csv
48,80,vehicle,high,high,0.8647638553527739,Java_high_results.csv
26,80,vehicle,high,high,0.8573636921163712,Java_high_results.csv
1,80,vehicle,high,high,0.8368600021393909,Java_high_results.csv
68,178,vehicle,high,high,0.6973288339179685,Java_high_results.csv
48,69,vehicle,high,high,0.7652100192475263,Java_high_results.csv
68,118,vehicle,high,high,0.810867515731986,Java_high_results.csv
87,118,vehicle,high,high,0.8347893983324665,Java_high_results.csv
69,87,vehicle,high,high,0.7707574175732949,Java_high_results.csv
1,48,vehicle,high,high,0.8178137625768903,Java_high_results.csv
80,178,vehicle,high,high,0.8540655162510687,Java_high_results.csv
48,68,vehicle,high,high,0.7347849253305486,Java_high_results.csv
68,87,vehicle,high,high,0.7598523689228697,Java_high_results.csv
82,178,vehicle,high,high,0.7856475965373633,Java_high_results.csv
69,86,vehicle,high,high,0.7176862861300227,Java_high_results.csv
118,178,vehicle,high,high,0.8270002946702576,Java_high_results.csv
68,86,vehicle,high,high,0.7975166039347423,Java_high_results.csv
69,118,vehicle,high,high,0.820901761336783,Java_high_results.csv
26,69,vehicle,high,high,0.7842011071576066,Java_high_results.csv
80,118,vehicle,high,high,0.8309268321624982,Java_high_results.csv
69,82,vehicle,high,high,0.7439686948374246,Java_high_results.csv
68,82,vehicle,high,high,0.7617114154358542,Java_high_results.csv
1,69,vehicle,high,high,0.8259867640677,Java_high_results.csv
26,68,vehicle,high,high,0.7733367787845117,Java_high_results.csv
48,118,vehicle,high,high,0.793925632118807,Java_high_results.csv
80,87,vehicle,high,high,0.9084258534227324,Java_high_results.csv
69,80,vehicle,high,high,0.8889810600499418,Java_high_results.csv
80,82,vehicle,high,high,0.8903595795086968,Java_high_results.csv
68,80,vehicle,high,high,0.8514420206471358,Java_high_results.csv
86,178,vehicle,high,high,0.8278494459180852,Java_high_results.csv
26,86,vehicle,high,high,0.7977451263000598,Java_high_results.csv
48,87,vehicle,high,high,0.7638795659548565,Java_high_results.csv
26,118,vehicle,high,high,0.8205399732225435,Java_high_results.csv
68,69,vehicle,high,high,0.7889044582132012,Java_high_results.csv
48,178,vehicle,high,high,0.7394932157934906,Java_high_results.csv
1,178,vehicle,high,high,0.8268714390918758,Java_high_results.csv
10,60,vehicle,low,low,0.820890047450555,Java_low_results.csv
13,170,vehicle,low,low,0.7821469355889109,Java_low_results.csv
13,27,vehicle,low,low,0.9283620433096396,Java_low_results.csv
27,41,vehicle,low,low,0.8974813511290837,Java_low_results.csv
21,65,vehicle,low,low,0.8824417640455098,Java_low_results.csv
10,63,vehicle,low,low,0.7697979300766775,Java_low_results.csv
13,77,vehicle,low,low,0.7810074535429483,Java_low_results.csv
13,172,vehicle,low,low,0.8350691999045694,Java_low_results.csv
13,29,vehicle,low,low,0.8517805516373582,Java_low_results.csv
10,65,vehicle,low,low,0.7895531480655013,Java_low_results.csv
27,44,vehicle,low,low,0.8653027128748543,Java_low_results.csv
13,43,vehicle,low,low,0.8213114029216854,Java_low_results.csv
13,176,vehicle,low,low,0.7681639237094788,Java_low_results.csv
13,31,vehicle,low,low,0.7853366274265999,Java_low_results.csv
13,34,vehicle,low,low,0.8203231525236891,Java_low_results.csv
21,74,vehicle,low,low,0.8280650440547188,Java_low_results.csv
13,35,vehicle,low,low,0.758504525308944,Java_low_results.csv
21,77,vehicle,low,low,0.80011469937051,Java_low_results.csv
13,37,vehicle,low,low,0.8002127420532846,Java_low_results.csv
27,35,vehicle,low,low,0.909671364239365,Java_low_results.csv
10,94,vehicle,low,low,0.8300913472535303,Java_low_results.csv
27,34,vehicle,low,low,0.8885430510855518,Java_low_results.csv
13,56,vehicle,low,low,0.8181257439099511,Java_low_results.csv
10,13,vehicle,low,low,0.8747450373918912,Java_low_results.csv
10,41,vehicle,low,low,0.825918325491333,Java_low_results.csv
27,31,vehicle,low,low,0.8741330987792828,Java_low_results.csv
10,44,vehicle,low,low,0.841330756625657,Java_low_results.csv
21,78,vehicle,low,low,0.8385037497753807,Java_low_results.csv
13,60,vehicle,low,low,0.7843702727031132,Java_low_results.csv
10,31,vehicle,low,low,0.8156727085045998,Java_low_results.csv
13,183,vehicle,low,low,0.7952636069267419,Java_low_results.csv
27,37,vehicle,low,low,0.8854459511889798,Java_low_results.csv
10,79,vehicle,low,low,0.8182511699444411,Java_low_results.csv
13,63,vehicle,low,low,0.8323883797507741,Java_low_results.csv
27,29,vehicle,low,low,0.8853591731604908,Java_low_results.csv
10,29,vehicle,low,low,0.8471769568382992,Java_low_results.csv
13,64,vehicle,low,low,0.8100138456997862,Java_low_results.csv
13,179,vehicle,low,low,0.8078298363343236,Java_low_results.csv
13,180,vehicle,low,low,0.8265451460355512,Java_low_results.csv
13,200,vehicle,low,low,0.8643542780806438,Java_low_results.csv
21,99,vehicle,low,low,0.7582836405267496,Java_low_results.csv
13,78,vehicle,low,low,0.8690982217556219,Java_low_results.csv
13,65,vehicle,low,low,0.926311433381464,Java_low_results.csv
21,200,vehicle,low,low,0.8648661298164568,Java_low_results.csv
13,99,vehicle,low,low,0.8170545020435482,Java_low_results.csv
21,94,vehicle,low,low,0.7633185920159165,Java_low_results.csv
21,27,vehicle,low,low,0.9014647040478592,Java_low_results.csv
10,43,vehicle,low,low,0.8347863650740663,Java_low_results.csv
21,183,vehicle,low,low,0.7931744935940412,Java_low_results.csv
13,41,vehicle,low,low,0.7889572344949687,Java_low_results.csv
21,29,vehicle,low,low,0.7986018539929376,Java_low_results.csv
13,74,vehicle,low,low,0.8623472998979514,Java_low_results.csv
21,182,vehicle,low,low,0.8297756645639592,Java_low_results.csv
21,31,vehicle,low,low,0.7767843449925196,Java_low_results.csv
10,35,vehicle,low,low,0.837657239001152,Java_low_results.csv
21,180,vehicle,low,low,0.8049182870257937,Java_low_results.csv
21,34,vehicle,low,low,0.7784286338377113,Java_low_results.csv
21,164,vehicle,low,low,0.8278475215003532,Java_low_results.csv
10,164,vehicle,low,low,0.8413652891896641,Java_low_results.csv
13,79,vehicle,low,low,0.782068990719549,Java_low_results.csv
21,179,vehicle,low,low,0.7786897547004635,Java_low_results.csv
13,182,vehicle,low,low,0.8141260278197686,Java_low_results.csv
21,35,vehicle,low,low,0.7769082989158981,Java_low_results.csv
13,101,vehicle,low,low,0.7802619896888856,Java_low_results.csv
10,128,vehicle,low,low,0.8495508513568546,Java_low_results.csv
21,41,vehicle,low,low,0.7965992881713881,Java_low_results.csv
21,176,vehicle,low,low,0.7471366332143837,Java_low_results.csv
10,124,vehicle,low,low,0.8327455924287435,Java_low_results.csv
27,56,vehicle,low,low,0.8931785636875644,Java_low_results.csv
10,21,vehicle,low,low,0.846183002619152,Java_low_results.csv
13,104,vehicle,low,low,0.8855132490616455,Java_low_results.csv
21,170,vehicle,low,low,0.7866083544434586,Java_low_results.csv
27,60,vehicle,low,low,0.8742429664962422,Java_low_results.csv
21,79,vehicle,low,low,0.7629702333030575,Java_low_results.csv
21,64,vehicle,low,low,0.7912999579802242,Java_low_results.csv
10,99,vehicle,low,low,0.8388819628123697,Java_low_results.csv
27,63,vehicle,low,low,0.8615207993878997,Java_low_results.csv
21,101,vehicle,low,low,0.8111811920989775,Java_low_results.csv
13,114,vehicle,low,low,0.878604661102633,Java_low_results.csv
10,101,vehicle,low,low,0.8982053352308691,Java_low_results.csv
27,64,vehicle,low,low,0.9204981253158994,Java_low_results.csv
10,132,vehicle,low,low,0.845776603963456,Java_low_results.csv
21,104,vehicle,low,low,0.84839161746633,Java_low_results.csv
13,94,vehicle,low,low,0.8627528411420804,Java_low_results.csv
13,124,vehicle,low,low,0.8436957838311924,Java_low_results.csv
10,104,vehicle,low,low,0.8107829214780653,Java_low_results.csv
10,37,vehicle,low,low,0.8088783435745247,Java_low_results.csv
27,65,vehicle,low,low,0.8132271212387976,Java_low_results.csv
21,43,vehicle,low,low,0.7679376183355042,Java_low_results.csv
