exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
10,18,Intermediate,Intermediate,r1,r1,c1,c1,44.92102040494063
10,31,Intermediate,Intermediate,r1,r1,c1,c1,45.33423282980418
10,32,Intermediate,Intermediate,r1,r1,c1,c1,46.379734116943666
10,35,Intermediate,Intermediate,r1,r1,c1,c1,46.962780239627826
10,51,Intermediate,Intermediate,r1,r1,c1,c1,42.376746626635736
10,53,Intermediate,Intermediate,r1,r1,c1,c1,42.17672421186228
11,15,Intermediate,Intermediate,r1,r1,c3,c3,30.47533605352197
11,19,Intermediate,Intermediate,r1,r1,c3,c3,30.951275452168225
11,20,Intermediate,Intermediate,r1,r1,c3,c3,38.27162552200912
11,21,Intermediate,Intermediate,r1,r1,c3,c3,34.77490513843679
11,22,Intermediate,Intermediate,r1,r1,c3,c3,40.608307970504086
11,23,Intermediate,Intermediate,r1,r1,c3,c3,39.9569403212663
11,44,Intermediate,Intermediate,r1,r1,c3,c3,41.5198066028526
11,45,Intermediate,Intermediate,r1,r1,c3,c3,42.079348311878064
12,13,Intermediate,Intermediate,r1,r1,c2,c2,34.77312147130601
12,14,Intermediate,Intermediate,r1,r1,c2,c2,39.56765510622677
12,17,Intermediate,Intermediate,r1,r1,c2,c2,33.283271070530446
12,34,Intermediate,Intermediate,r1,r1,c2,c2,43.162737383210825
12,42,Intermediate,Intermediate,r1,r1,c2,c2,45.306615864184096
13,14,Intermediate,Intermediate,r1,r1,c2,c2,31.66495939229181
13,17,Intermediate,Intermediate,r1,r1,c2,c2,22.254753397417787
13,34,Intermediate,Intermediate,r1,r1,c2,c2,32.41050243839688
13,42,Intermediate,Intermediate,r1,r1,c2,c2,39.19413138124054
14,17,Intermediate,Intermediate,r1,r1,c2,c2,30.76811946266292
14,34,Intermediate,Intermediate,r1,r1,c2,c2,39.20957207626083
14,42,Intermediate,Intermediate,r1,r1,c2,c2,41.43094135942052
15,19,Intermediate,Intermediate,r1,r1,c3,c3,21.306671456587736
15,20,Intermediate,Intermediate,r1,r1,c3,c3,28.976419815648825
15,21,Intermediate,Intermediate,r1,r1,c3,c3,23.357623024103027
15,22,Intermediate,Intermediate,r1,r1,c3,c3,30.631418139409334
15,23,Intermediate,Intermediate,r1,r1,c3,c3,32.19546496011381
15,44,Intermediate,Intermediate,r1,r1,c3,c3,33.610316683779054
15,45,Intermediate,Intermediate,r1,r1,c3,c3,35.0030829939547
17,34,Intermediate,Intermediate,r1,r1,c2,c2,32.65055107467885
17,42,Intermediate,Intermediate,r1,r1,c2,c2,36.53613162105589
18,31,Intermediate,Intermediate,r1,r1,c1,c1,44.37842096467116
18,32,Intermediate,Intermediate,r1,r1,c1,c1,48.857333526355156
18,35,Intermediate,Intermediate,r1,r1,c1,c1,45.5574755715505
18,51,Intermediate,Intermediate,r1,r1,c1,c1,44.190246234143004
18,53,Intermediate,Intermediate,r1,r1,c1,c1,44.481517468937135
19,20,Intermediate,Intermediate,r1,r1,c3,c3,29.234556387539794
19,21,Intermediate,Intermediate,r1,r1,c3,c3,23.87131495100546
19,22,Intermediate,Intermediate,r1,r1,c3,c3,30.256315411391434
19,23,Intermediate,Intermediate,r1,r1,c3,c3,31.412102023374846
19,44,Intermediate,Intermediate,r1,r1,c3,c3,33.09655986272941
19,45,Intermediate,Intermediate,r1,r1,c3,c3,34.91663107941341
20,21,Intermediate,Intermediate,r1,r1,c3,c3,33.244278536621984
20,22,Intermediate,Intermediate,r1,r1,c3,c3,38.55842344792805
20,23,Intermediate,Intermediate,r1,r1,c3,c3,37.70497790867022
20,44,Intermediate,Intermediate,r1,r1,c3,c3,38.47667505767588
20,45,Intermediate,Intermediate,r1,r1,c3,c3,40.37996922307597
21,22,Intermediate,Intermediate,r1,r1,c3,c3,33.27090351255189
21,23,Intermediate,Intermediate,r1,r1,c3,c3,35.93878850005147
21,44,Intermediate,Intermediate,r1,r1,c3,c3,36.452023286954784
21,45,Intermediate,Intermediate,r1,r1,c3,c3,37.8992983489168
22,23,Intermediate,Intermediate,r1,r1,c3,c3,41.79540495841917
22,44,Intermediate,Intermediate,r1,r1,c3,c3,43.358885892768974
22,45,Intermediate,Intermediate,r1,r1,c3,c3,43.37325424949954
23,44,Intermediate,Intermediate,r1,r1,c3,c3,42.79121543336491
23,45,Intermediate,Intermediate,r1,r1,c3,c3,44.28938507631857
31,32,Intermediate,Intermediate,r1,r1,c1,c1,42.82500827767858
31,35,Intermediate,Intermediate,r1,r1,c1,c1,42.32527032475804
31,51,Intermediate,Intermediate,r1,r1,c1,c1,38.84511332210419
