exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
10,15,Intermediate,Intermediate,r2,r2,c2,c2,0.7206158799993645
10,18,Intermediate,Intermediate,r2,r2,c2,c2,0.6527241794429349
10,21,Intermediate,Intermediate,r2,r2,c2,c2,0.6867317032018486
10,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6729626983832082
10,32,Intermediate,Intermediate,r2,r2,c2,c2,0.8126101631282735
10,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6751832904354877
10,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6559989136441092
10,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6735467054140322
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.6544549826571769
11,13,Intermediate,Intermediate,r2,r2,c1,c1,0.7117320968889314
11,19,Intermediate,Intermediate,r2,r2,c1,c1,0.6815810857986343
11,20,Intermediate,Intermediate,r2,r2,c1,c1,0.7022378538241844
11,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6884920475663896
11,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6755445070524418
11,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6303974475724787
12,13,Intermediate,Intermediate,r2,r2,c1,c1,0.7060751484019248
12,19,Intermediate,Intermediate,r2,r2,c1,c1,0.6978914434173609
12,20,Intermediate,Intermediate,r2,r2,c1,c1,0.6609735646656267
12,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6942820784865728
12,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6745592594707721
12,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6634379064721548
13,19,Intermediate,Intermediate,r2,r2,c1,c1,0.7553969644041965
13,20,Intermediate,Intermediate,r2,r2,c1,c1,0.702263331850199
13,23,Intermediate,Intermediate,r2,r2,c1,c1,0.7522018283353228
13,34,Intermediate,Intermediate,r2,r2,c1,c1,0.7329594413292954
13,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6981285108189582
14,17,Intermediate,Intermediate,r2,r2,c3,c3,0.647213740230703
14,31,Intermediate,Intermediate,r2,r2,c3,c3,0.6165677743068642
14,42,Intermediate,Intermediate,r2,r2,c3,c3,0.704930767932638
14,51,Intermediate,Intermediate,r2,r2,c3,c3,0.744295755214721
15,18,Intermediate,Intermediate,r2,r2,c2,c2,0.7090719003342635
15,21,Intermediate,Intermediate,r2,r2,c2,c2,0.7094881484743981
15,22,Intermediate,Intermediate,r2,r2,c2,c2,0.7472181508370622
15,32,Intermediate,Intermediate,r2,r2,c2,c2,0.776776164036611
15,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6978015694155418
15,45,Intermediate,Intermediate,r2,r2,c2,c2,0.698978346086787
15,53,Intermediate,Intermediate,r2,r2,c2,c2,0.7158852680062509
17,31,Intermediate,Intermediate,r2,r2,c3,c3,0.6430290046319017
17,42,Intermediate,Intermediate,r2,r2,c3,c3,0.6988371808226379
17,51,Intermediate,Intermediate,r2,r2,c3,c3,0.7097890232680553
18,21,Intermediate,Intermediate,r2,r2,c2,c2,0.6275008786534081
18,22,Intermediate,Intermediate,r2,r2,c2,c2,0.7083751282239873
18,32,Intermediate,Intermediate,r2,r2,c2,c2,0.8026376580317263
18,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6419475579284809
18,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6469510493016836
18,53,Intermediate,Intermediate,r2,r2,c2,c2,0.632727856630797
19,20,Intermediate,Intermediate,r2,r2,c1,c1,0.6888673732631826
19,23,Intermediate,Intermediate,r2,r2,c1,c1,0.6288740239607963
19,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6653613568004552
19,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6706276520085177
20,23,Intermediate,Intermediate,r2,r2,c1,c1,0.7201663732323845
20,34,Intermediate,Intermediate,r2,r2,c1,c1,0.673127487675509
20,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6662023104023538
21,22,Intermediate,Intermediate,r2,r2,c2,c2,0.6970820263538672
21,32,Intermediate,Intermediate,r2,r2,c2,c2,0.7979185162767733
21,35,Intermediate,Intermediate,r2,r2,c2,c2,0.6329625018193786
21,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6785343320695761
21,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6452406122489439
22,32,Intermediate,Intermediate,r2,r2,c2,c2,0.7963101176008345
22,35,Intermediate,Intermediate,r2,r2,c2,c2,0.723510844014475
22,45,Intermediate,Intermediate,r2,r2,c2,c2,0.729739489979662
22,53,Intermediate,Intermediate,r2,r2,c2,c2,0.7115473085581911
23,34,Intermediate,Intermediate,r2,r2,c1,c1,0.6613037250295402
23,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6650525010767124
31,42,Intermediate,Intermediate,r2,r2,c3,c3,0.6587995276309953
31,51,Intermediate,Intermediate,r2,r2,c3,c3,0.7260507811202273
32,35,Intermediate,Intermediate,r2,r2,c2,c2,0.7874985803302779
32,45,Intermediate,Intermediate,r2,r2,c2,c2,0.784735208498606
32,53,Intermediate,Intermediate,r2,r2,c2,c2,0.7795656560308809
34,44,Intermediate,Intermediate,r2,r2,c1,c1,0.6478656793895647
35,45,Intermediate,Intermediate,r2,r2,c2,c2,0.6418326656896541
35,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6611701092149348
42,51,Intermediate,Intermediate,r2,r2,c3,c3,0.77011734761189
45,53,Intermediate,Intermediate,r2,r2,c2,c2,0.6517608017400586
