exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
16,24,Beginner,Beginner,r1,r1,c1,c1,40.37085402298838,Beginner_r1_result.csv
16,27,Beginner,Beginner,r1,r1,c1,c1,35.574108889085416,Beginner_r1_result.csv
16,33,Beginner,Beginner,r1,r1,c1,c1,37.30780998100232,Beginner_r1_result.csv
16,36,Beginner,Beginner,r1,r1,c1,c1,23.987082962456302,Beginner_r1_result.csv
16,40,Beginner,Beginner,r1,r1,c1,c1,36.21465405458005,Beginner_r1_result.csv
24,27,Beginner,Beginner,r1,r1,c1,c1,43.95720878772006,Beginner_r1_result.csv
24,33,Beginner,Beginner,r1,r1,c1,c1,45.92620628142194,Beginner_r1_result.csv
24,36,Beginner,Beginner,r1,r1,c1,c1,30.15563976420248,Beginner_r1_result.csv
24,40,Beginner,Beginner,r1,r1,c1,c1,42.38684643550688,Beginner_r1_result.csv
25,28,Beginner,Beginner,r1,r1,c2,c2,36.36811644545887,Beginner_r1_result.csv
25,37,Beginner,Beginner,r1,r1,c2,c2,39.612062228540765,Beginner_r1_result.csv
25,38,Beginner,Beginner,r1,r1,c2,c2,30.23314153552393,Beginner_r1_result.csv
25,41,Beginner,Beginner,r1,r1,c2,c2,46.61048127829589,Beginner_r1_result.csv
25,43,Beginner,Beginner,r1,r1,c2,c2,43.29055983495892,Beginner_r1_result.csv
25,47,Beginner,Beginner,r1,r1,c2,c2,39.35123060457882,Beginner_r1_result.csv
25,48,Beginner,Beginner,r1,r1,c2,c2,45.85900507129868,Beginner_r1_result.csv
25,50,Beginner,Beginner,r1,r1,c2,c2,35.46485116263988,Beginner_r1_result.csv
25,52,Beginner,Beginner,r1,r1,c2,c2,40.10640129461185,Beginner_r1_result.csv
26,29,Beginner,Beginner,r1,r1,c3,c3,39.87134783368649,Beginner_r1_result.csv
26,30,Beginner,Beginner,r1,r1,c3,c3,30.678230792941694,Beginner_r1_result.csv
26,39,Beginner,Beginner,r1,r1,c3,c3,44.44941099049513,Beginner_r1_result.csv
26,46,Beginner,Beginner,r1,r1,c3,c3,45.49931937378435,Beginner_r1_result.csv
26,9,Beginner,Beginner,r1,r1,c3,c3,45.40891481742316,Beginner_r1_result.csv
27,33,Beginner,Beginner,r1,r1,c1,c1,39.38540264158863,Beginner_r1_result.csv
27,36,Beginner,Beginner,r1,r1,c1,c1,25.714825150691475,Beginner_r1_result.csv
27,40,Beginner,Beginner,r1,r1,c1,c1,37.51187454793481,Beginner_r1_result.csv
28,37,Beginner,Beginner,r1,r1,c2,c2,33.291687624560524,Beginner_r1_result.csv
28,38,Beginner,Beginner,r1,r1,c2,c2,21.93976843002888,Beginner_r1_result.csv
28,41,Beginner,Beginner,r1,r1,c2,c2,40.90212737737509,Beginner_r1_result.csv
28,43,Beginner,Beginner,r1,r1,c2,c2,37.97682582135441,Beginner_r1_result.csv
28,47,Beginner,Beginner,r1,r1,c2,c2,35.37728241484196,Beginner_r1_result.csv
28,48,Beginner,Beginner,r1,r1,c2,c2,39.96816359738267,Beginner_r1_result.csv
28,50,Beginner,Beginner,r1,r1,c2,c2,27.955150988525173,Beginner_r1_result.csv
28,52,Beginner,Beginner,r1,r1,c2,c2,31.14316314388697,Beginner_r1_result.csv
29,30,Beginner,Beginner,r1,r1,c3,c3,24.2957565833242,Beginner_r1_result.csv
29,39,Beginner,Beginner,r1,r1,c3,c3,39.84546560296531,Beginner_r1_result.csv
29,46,Beginner,Beginner,r1,r1,c3,c3,37.51786755718278,Beginner_r1_result.csv
29,9,Beginner,Beginner,r1,r1,c3,c3,39.4662917807427,Beginner_r1_result.csv
