exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
10,18,Intermediate,Intermediate,r1,r1,c1,c1,44.92102040494063,r1_result.csv
10,31,Intermediate,Intermediate,r1,r1,c1,c1,45.33423282980418,r1_result.csv
10,32,Intermediate,Intermediate,r1,r1,c1,c1,46.37973411694367,r1_result.csv
10,35,Intermediate,Intermediate,r1,r1,c1,c1,46.96278023962783,r1_result.csv
10,51,Intermediate,Intermediate,r1,r1,c1,c1,42.376746626635736,r1_result.csv
10,53,Intermediate,Intermediate,r1,r1,c1,c1,42.17672421186228,r1_result.csv
11,15,Intermediate,Intermediate,r1,r1,c3,c3,30.47533605352197,r1_result.csv
11,19,Intermediate,Intermediate,r1,r1,c3,c3,30.951275452168225,r1_result.csv
11,20,Intermediate,Intermediate,r1,r1,c3,c3,38.27162552200912,r1_result.csv
11,21,Intermediate,Intermediate,r1,r1,c3,c3,34.77490513843679,r1_result.csv
11,22,Intermediate,Intermediate,r1,r1,c3,c3,40.608307970504086,r1_result.csv
11,23,Intermediate,Intermediate,r1,r1,c3,c3,39.9569403212663,r1_result.csv
11,44,Intermediate,Intermediate,r1,r1,c3,c3,41.5198066028526,r1_result.csv
11,45,Intermediate,Intermediate,r1,r1,c3,c3,42.079348311878064,r1_result.csv
12,13,Intermediate,Intermediate,r1,r1,c2,c2,34.77312147130601,r1_result.csv
12,14,Intermediate,Intermediate,r1,r1,c2,c2,39.56765510622677,r1_result.csv
12,17,Intermediate,Intermediate,r1,r1,c2,c2,33.283271070530446,r1_result.csv
12,34,Intermediate,Intermediate,r1,r1,c2,c2,43.162737383210825,r1_result.csv
12,42,Intermediate,Intermediate,r1,r1,c2,c2,45.306615864184096,r1_result.csv
13,14,Intermediate,Intermediate,r1,r1,c2,c2,31.66495939229181,r1_result.csv
13,17,Intermediate,Intermediate,r1,r1,c2,c2,22.254753397417787,r1_result.csv
13,34,Intermediate,Intermediate,r1,r1,c2,c2,32.41050243839688,r1_result.csv
13,42,Intermediate,Intermediate,r1,r1,c2,c2,39.19413138124054,r1_result.csv
14,17,Intermediate,Intermediate,r1,r1,c2,c2,30.76811946266292,r1_result.csv
14,34,Intermediate,Intermediate,r1,r1,c2,c2,39.20957207626083,r1_result.csv
14,42,Intermediate,Intermediate,r1,r1,c2,c2,41.43094135942052,r1_result.csv
15,19,Intermediate,Intermediate,r1,r1,c3,c3,21.306671456587736,r1_result.csv
