exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
5,8,Beginner,Beginner,r1,r1,c2,c2,0.9873715072090039,0.8679428357587757,0.9852690232114256,0.9443836078287414,0.6956521739130435
7,5,Beginner,Beginner,r1,r2,c1,c1,0.9884477443414477,0.8743164209212747,0.9862503307959132,0.9378714611181596,0.6956462585034013
7,8,Beginner,Beginner,r1,r2,c1,c1,0.989853310616398,0.894443300867634,0.9902052259977323,0.8571686670308788,0.724324794781589
7,9,Beginner,Beginner,r1,r2,c1,c1,0.9885042723097771,0.8651528542699067,0.9869347254859181,0.91564266459281,0.7469879518072289
9,7,Beginner,Beginner,r1,r2,c3,c3,0.9842667275469421,0.8419268494311305,0.9807978436545124,0.8980844763855439,0.7017543859649122
5,7,Beginner,Beginner,r1,r3,c2,c2,0.9879880640163524,0.8511420221823061,0.9868370907598839,0.8763672534412762,0.7192518874399452
5,9,Beginner,Beginner,r1,r3,c2,c2,0.9884983185930469,0.8514825152545933,0.9871968151492582,0.9367920639958291,0.7150858983536148
8,7,Beginner,Beginner,r1,r3,c2,c2,0.9896969563373631,0.9180902457953033,0.9871587387853109,0.8977558163844537,0.7076923076923077
8,9,Beginner,Beginner,r1,r3,c2,c2,0.9884493477833605,0.843754024702572,0.9871659356461931,0.8811518619418776,0.7005649717514124
9,5,Beginner,Beginner,r1,r3,c3,c3,0.9845332106387176,0.7943617691961742,0.9846522120798944,0.9367269864583636,0.6773702537584186
9,8,Beginner,Beginner,r1,r3,c3,c3,0.9884289337569223,0.8019176750076182,0.986048526460775,0.913542428528325,0.6782178217821782
5,8,Beginner,Beginner,r2,r2,c1,c1,0.992121358939294,0.9479409320328172,0.9898423775625085,0.9569549725892733,0.687728102189781
5,9,Beginner,Beginner,r2,r2,c1,c1,0.9899518928391139,0.9255624733635561,0.9877709497286745,0.9523366255517987,0.7259082512315271
8,9,Beginner,Beginner,r2,r2,c1,c1,0.992463853111581,0.9203614558198702,0.9906786642957651,0.9605012719997363,0.7002017608217168
7,5,Beginner,Beginner,r2,r3,c3,c3,0.9879576748842608,0.8913180499142783,0.9862152904097728,0.9476632986401826,0.6994271685761048
7,8,Beginner,Beginner,r2,r3,c3,c3,0.9872335876777191,0.8864979313111733,0.9867038811062413,0.9311518645583575,0.6391342841195604
5,8,Beginner,Beginner,r3,r3,c3,c3,0.9868153876084966,0.8705650674797333,0.9879269973020023,0.9475743130337054,0.6680454842329141
7,9,Beginner,Beginner,r3,r3,c2,c2,0.9894671594841713,0.8981804021686164,0.9881061246435746,0.9214437157585075,0.719642857142857
