exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration
10,11,Intermediate,Intermediate,r1,r1,0.9855814637435544,0.8569081858230214,0.9829715055729066,0.889746994119125,0.7526067122841317
10,12,Intermediate,Intermediate,r1,r1,0.988504372336778,0.9192233840903119,0.9847038621343768,0.919167330948119,0.747778133385854
10,6,Intermediate,Intermediate,r1,r1,0.9847265568413994,0.8602159405907333,0.9846385436356376,0.8728984940335572,0.686242329099472
11,10,Intermediate,Intermediate,r1,r1,0.9855814637435544,0.8569081858230214,0.9829715055729066,0.889746994119125,0.7526067122841317
11,12,Intermediate,Intermediate,r1,r1,0.9858465153005922,0.8571190131003046,0.9838822765103228,0.9162159253819454,0.7434397315667212
11,6,Intermediate,Intermediate,r1,r1,0.9821934276196015,0.8331545342020853,0.9786027240586476,0.8879199536713989,0.684331797235023
12,10,Intermediate,Intermediate,r1,r1,0.988504372336778,0.9192233840903119,0.9847038621343768,0.919167330948119,0.747778133385854
12,11,Intermediate,Intermediate,r1,r1,0.9858465153005922,0.8571190131003046,0.9838822765103228,0.9162159253819454,0.7434397315667212
12,6,Intermediate,Intermediate,r1,r1,0.9867815441328686,0.8810346433946438,0.9840641426549581,0.8855872153904633,0.7257142857142858
6,10,Intermediate,Intermediate,r1,r1,0.9847265568413994,0.8602159405907333,0.9846385436356376,0.8728984940335572,0.686242329099472
6,11,Intermediate,Intermediate,r1,r1,0.9821934276196015,0.8331545342020853,0.9786027240586476,0.8879199536713989,0.684331797235023
6,12,Intermediate,Intermediate,r1,r1,0.9867815441328686,0.8810346433946438,0.9840641426549581,0.8855872153904633,0.7257142857142858
10,11,Intermediate,Intermediate,r1,r2,0.9877716723823228,0.9243474650524344,0.9842338371058076,0.8354031714457706,0.7530364372469636
10,12,Intermediate,Intermediate,r1,r2,0.9869401338046077,0.921725064385463,0.9851618139341911,0.823531622196701,0.7731019978969507
10,6,Intermediate,Intermediate,r1,r2,0.987435158666091,0.8713385379726903,0.9854086584134361,0.8928387424617825,0.7231404958677685
11,10,Intermediate,Intermediate,r1,r2,0.9868574899210661,0.8545545303825738,0.9842790251235054,0.8437500963377846,0.7435897435897435
11,12,Intermediate,Intermediate,r1,r2,0.9851626044483677,0.8580881628819778,0.984903908029209,0.8394116338268937,0.6945480819758276
11,6,Intermediate,Intermediate,r1,r2,0.9841157447926785,0.8236704472174303,0.9803800356941469,0.8484633775769026,0.6618172640080768
12,10,Intermediate,Intermediate,r1,r2,0.9906418878410301,0.9198427780079181,0.9872437466680696,0.8533834585768455,0.7808219178082192
12,11,Intermediate,Intermediate,r1,r2,0.9894859221328464,0.9253278363896316,0.9871173990670736,0.8701860286986055,0.7305565157276184
12,6,Intermediate,Intermediate,r1,r2,0.9852635372682527,0.8932026404344346,0.9790178504269822,0.8592933843393167,0.6879908376963351
6,10,Intermediate,Intermediate,r1,r2,0.9853109322142994,0.8661070387033751,0.9814346380762881,0.9039549878337279,0.7227028066128413
