exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
5,8,Beginner,Beginner,r1,r1,c2,c2,0.987371507209004,0.8679428357587757,0.9852690232114256,0.9443836078287414,0.6956521739130435,Beginner_result.csv
7,5,Beginner,Beginner,r1,r2,c1,c1,0.9884477443414476,0.8743164209212747,0.9862503307959132,0.9378714611181596,0.6956462585034013,Beginner_result.csv
7,8,Beginner,Beginner,r1,r2,c1,c1,0.989853310616398,0.894443300867634,0.9902052259977324,0.8571686670308788,0.724324794781589,Beginner_result.csv
7,9,Beginner,Beginner,r1,r2,c1,c1,0.9885042723097772,0.8651528542699067,0.986934725485918,0.91564266459281,0.7469879518072289,Beginner_result.csv
9,7,Beginner,Beginner,r1,r2,c3,c3,0.984266727546942,0.8419268494311305,0.9807978436545124,0.8980844763855439,0.7017543859649122,Beginner_result.csv
5,7,Beginner,Beginner,r1,r3,c2,c2,0.9879880640163524,0.8511420221823061,0.986837090759884,0.8763672534412762,0.7192518874399452,Beginner_result.csv
5,9,Beginner,Beginner,r1,r3,c2,c2,0.9884983185930468,0.8514825152545933,0.9871968151492582,0.9367920639958291,0.7150858983536148,Beginner_result.csv
8,7,Beginner,Beginner,r1,r3,c2,c2,0.9896969563373632,0.9180902457953032,0.9871587387853108,0.8977558163844537,0.7076923076923077,Beginner_result.csv
8,9,Beginner,Beginner,r1,r3,c2,c2,0.9884493477833604,0.843754024702572,0.9871659356461931,0.8811518619418776,0.7005649717514124,Beginner_result.csv
9,5,Beginner,Beginner,r1,r3,c3,c3,0.9845332106387176,0.7943617691961742,0.9846522120798944,0.9367269864583636,0.6773702537584186,Beginner_result.csv
9,8,Beginner,Beginner,r1,r3,c3,c3,0.9884289337569224,0.8019176750076182,0.986048526460775,0.913542428528325,0.6782178217821782,Beginner_result.csv
5,8,Beginner,Beginner,r2,r2,c1,c1,0.992121358939294,0.9479409320328172,0.9898423775625084,0.9569549725892732,0.687728102189781,Beginner_result.csv
5,9,Beginner,Beginner,r2,r2,c1,c1,0.989951892839114,0.925562473363556,0.9877709497286744,0.9523366255517988,0.7259082512315271,Beginner_result.csv
8,9,Beginner,Beginner,r2,r2,c1,c1,0.992463853111581,0.9203614558198702,0.9906786642957652,0.9605012719997365,0.7002017608217168,Beginner_result.csv
7,5,Beginner,Beginner,r2,r3,c3,c3,0.9879576748842608,0.8913180499142783,0.9862152904097728,0.9476632986401826,0.6994271685761048,Beginner_result.csv
7,8,Beginner,Beginner,r2,r3,c3,c3,0.9872335876777192,0.8864979313111733,0.9867038811062412,0.9311518645583576,0.6391342841195604,Beginner_result.csv
5,8,Beginner,Beginner,r3,r3,c3,c3,0.9868153876084966,0.8705650674797333,0.9879269973020024,0.9475743130337054,0.6680454842329141,Beginner_result.csv
7,9,Beginner,Beginner,r3,r3,c2,c2,0.9894671594841712,0.8981804021686164,0.9881061246435746,0.9214437157585076,0.719642857142857,Beginner_result.csv
12,6,Intermediate,Intermediate,r1,r1,c2,c2,0.9867815441328686,0.8810346433946438,0.984064142654958,0.8855872153904633,0.7257142857142858,Intermediate_result.csv
10,11,Intermediate,Intermediate,r1,r2,c1,c1,0.9877716723823228,0.9243474650524344,0.9842338371058076,0.8354031714457706,0.7530364372469636,Intermediate_result.csv
10,12,Intermediate,Intermediate,r1,r2,c1,c1,0.9869401338046077,0.921725064385463,0.9851618139341912,0.823531622196701,0.7731019978969507,Intermediate_result.csv
11,6,Intermediate,Intermediate,r1,r2,c3,c3,0.9841157447926784,0.8236704472174303,0.9803800356941468,0.8484633775769026,0.6618172640080768,Intermediate_result.csv
12,10,Intermediate,Intermediate,r1,r2,c2,c2,0.99064188784103,0.919842778007918,0.9872437466680696,0.8533834585768455,0.7808219178082192,Intermediate_result.csv
6,10,Intermediate,Intermediate,r1,r2,c2,c2,0.9853109322142994,0.8661070387033751,0.981434638076288,0.903954987833728,0.7227028066128413,Intermediate_result.csv
10,6,Intermediate,Intermediate,r1,r3,c1,c1,0.9857146138297554,0.8800626567935953,0.9824585450743436,0.8338971889338929,0.7310924369747899,Intermediate_result.csv
11,10,Intermediate,Intermediate,r1,r3,c3,c3,0.9841835225449644,0.8703406609241965,0.9813072889079936,0.9231520749928668,0.7407711415919646,Intermediate_result.csv
11,12,Intermediate,Intermediate,r1,r3,c3,c3,0.9853202822986924,0.7841656334764477,0.9822657908312816,0.8610451309050935,0.6925945945945946,Intermediate_result.csv
12,11,Intermediate,Intermediate,r1,r3,c2,c2,0.9886486964202044,0.9070228200490348,0.9869250562624096,0.8737432546890977,0.7191011235955056,Intermediate_result.csv
6,11,Intermediate,Intermediate,r1,r3,c2,c2,0.9860200946415408,0.8246198830473067,0.983208085889113,0.9054541124371648,0.6539682539682539,Intermediate_result.csv
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.9891190388519716,0.9117518854729156,0.9891824367139428,0.9552735793903367,0.752851711026616,Intermediate_result.csv
10,11,Intermediate,Intermediate,r2,r3,c2,c2,0.9910078617665856,0.9164547923578932,0.98854122357065,0.9651621501314668,0.7065603240340418,Intermediate_result.csv
11,6,Intermediate,Intermediate,r2,r3,c1,c1,0.9910602104998868,0.905734986725238,0.9887600924194307,0.9486583688033278,0.7130876068376069,Intermediate_result.csv
12,6,Intermediate,Intermediate,r2,r3,c1,c1,0.9886031361114612,0.9012727339399218,0.9882745533104846,0.9455682659067972,0.6878360215053764,Intermediate_result.csv
6,10,Intermediate,Intermediate,r2,r3,c3,c3,0.9869086984194864,0.8526344397257076,0.9853849969467195,0.9286086229878142,0.674519586104952,Intermediate_result.csv
6,12,Intermediate,Intermediate,r2,r3,c3,c3,0.9864767310194432,0.8857201746179248,0.984091052046919,0.9082240550731624,0.6901840490797546,Intermediate_result.csv
10,12,Intermediate,Intermediate,r3,r3,c3,c3,0.9888702423594132,0.9028618304935568,0.9863384036373124,0.964336664168884,0.7642857142857143,Intermediate_result.csv
