exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
16,36,Beginner,Beginner,r3,r3,c3,c3,0.9855886815407605,0.7594956308077497,0.9815735740430366,0.9124978962698891,0.7474360043358627
16,37,Beginner,Beginner,r3,r3,c3,c3,0.9882652469682556,0.8229869152285227,0.9816841511159368,0.8654244435950068,0.6882352941176471
16,38,Beginner,Beginner,r3,r3,c3,c3,0.9846159709514118,0.7719339646470047,0.9796588652875055,0.9180166252066153,0.7749358426005133
16,43,Beginner,Beginner,r3,r3,c3,c3,0.9852489330617127,0.8072049674779722,0.9804452599612012,0.8834833466085072,0.6721311475409837
16,47,Beginner,Beginner,r3,r3,c3,c3,0.9802238149644047,0.7523130771445199,0.9751417424231229,0.9186329987198836,0.6337209302325582
16,50,Beginner,Beginner,r3,r3,c3,c3,0.9856556184540133,0.7834654265940585,0.9834596985064088,0.9009551449675437,0.7440193785499499
24,27,Beginner,Beginner,r3,r3,c2,c2,0.9880412665949267,0.803526324659631,0.9856698572874841,0.9456052362583318,0.6932126696832579
24,30,Beginner,Beginner,r3,r3,c2,c2,0.9916924095621408,0.8572836186814043,0.988727056929579,0.9573300710045801,0.7409937888198758
24,33,Beginner,Beginner,r3,r3,c2,c2,0.990322820427384,0.8950330996460669,0.9855740125712413,0.947101224952402,0.670549420953407
24,39,Beginner,Beginner,r3,r3,c2,c2,0.9901174056860943,0.9003061718653441,0.9899259179444848,0.9367172060720754,0.6871403096376753
24,40,Beginner,Beginner,r3,r3,c2,c2,0.9904379069816971,0.8874721303009551,0.9869830683476216,0.9048839831977746,0.7574195906432748
24,9,Beginner,Beginner,r3,r3,c2,c2,0.9914400011591903,0.888169160151322,0.9879944675985718,0.9536164742179837,0.6799252374217014
25,26,Beginner,Beginner,r3,r3,c1,c1,0.9895663938153804,0.928793546534215,0.9885151718785746,0.9630439498310477,0.6958653026427962
