exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
10,12,Intermediate,Intermediate,r3,r3,c3,c3,0.9888702423594133,0.9028618304935568,0.9863384036373123,0.9643366641688839,0.7642857142857143
10,13,Intermediate,Intermediate,r3,r3,c3,c3,0.9855496026009611,0.8673124818499184,0.9842774866325873,0.8511987441472396,0.7315789473684211
10,18,Intermediate,Intermediate,r3,r3,c3,c3,0.9870629789208616,0.9045288767251765,0.9842299264558365,0.9470902714489522,0.7352941176470589
10,32,Intermediate,Intermediate,r3,r3,c3,c3,0.9846481502221454,0.8746468569032211,0.983620729317451,0.9527212275283363,0.708203933747412
10,34,Intermediate,Intermediate,r3,r3,c3,c3,0.9874773463065876,0.8795640552810392,0.9854540691379586,0.9541969411707877,0.7378640776699029
10,35,Intermediate,Intermediate,r3,r3,c3,c3,0.9850783274527889,0.8658940609879062,0.9819408967747207,0.9477555324489109,0.6331637750931056
10,53,Intermediate,Intermediate,r3,r3,c3,c3,0.984450083239523,0.8747827811045669,0.983310052675578,0.9284942596927515,0.7441860465116279
11,19,Intermediate,Intermediate,r3,r3,c2,c2,0.9919461565214719,0.9218211461319554,0.9895650845909401,0.9648411537731164,0.7182404209173427
11,20,Intermediate,Intermediate,r3,r3,c2,c2,0.9904835674376886,0.9014789716651296,0.987591736137319,0.9746133639776355,0.7241379310344828
11,23,Intermediate,Intermediate,r3,r3,c2,c2,0.9906245033496638,0.912992839439594,0.9870599526021608,0.9690179849283364,0.6410131627734519
11,31,Intermediate,Intermediate,r3,r3,c2,c2,0.9928827681046991,0.9179897119612952,0.9893074629038792,0.9653023008080521,0.7074516187375656
11,44,Intermediate,Intermediate,r3,r3,c2,c2,0.9909260420448271,0.9050823781954591,0.9874467255114779,0.9624547483972519,0.6649659863945578
11,51,Intermediate,Intermediate,r3,r3,c2,c2,0.9887834700301354,0.8913087382152425,0.9881753261633964,0.9561681555523356,0.7178423236514522
12,13,Intermediate,Intermediate,r3,r3,c3,c3,0.9894584814017622,0.8189821877205806,0.9860514942990922,0.8289789343320603,0.6915887850467289
12,18,Intermediate,Intermediate,r3,r3,c3,c3,0.9911997311029327,0.9000130826701556,0.9876065663307371,0.9546130206141232,0.6895507051236623
12,32,Intermediate,Intermediate,r3,r3,c3,c3,0.9876942883841793,0.8664845592363016,0.9837733715308679,0.959479130592184,0.6648648648648648
12,34,Intermediate,Intermediate,r3,r3,c3,c3,0.9907449057406041,0.9325232622680985,0.988431886009303,0.9423050402516142,0.6967213114754098
12,35,Intermediate,Intermediate,r3,r3,c3,c3,0.9916256778561944,0.9211541828428749,0.9899453733710897,0.9666108538180259,0.6401946382666177
12,53,Intermediate,Intermediate,r3,r3,c3,c3,0.9885793310214925,0.9051064401884329,0.9864494351258932,0.9386788342183656,0.7142857142857143
13,18,Intermediate,Intermediate,r3,r3,c3,c3,0.9860703827990281,0.8637281608934214,0.982973766684449,0.8493598403102747,0.682103978978979
13,32,Intermediate,Intermediate,r3,r3,c3,c3,0.9846439837513552,0.7956441751437359,0.9826659452799767,0.8301727891387565,0.705885736196319
13,34,Intermediate,Intermediate,r3,r3,c3,c3,0.986525443498278,0.8400382638551398,0.9816085147526186,0.876106692520208,0.6792948967666537
13,35,Intermediate,Intermediate,r3,r3,c3,c3,0.9872229448481542,0.8579082722532306,0.9840497069992402,0.8426121635076093,0.6153846153846153
13,53,Intermediate,Intermediate,r3,r3,c3,c3,0.9853247888837021,0.8002526392580881,0.9807746631315265,0.8408057780703068,0.7156398104265402
14,15,Intermediate,Intermediate,r3,r3,c1,c1,0.9870889784795495,0.8811728648884375,0.9846891277745952,0.9500657579816495,0.6577777777777778
14,17,Intermediate,Intermediate,r3,r3,c1,c1,0.9899137494674889,0.9196173867045794,0.9902881692138041,0.9567080141533463,0.6920838433949702
14,21,Intermediate,Intermediate,r3,r3,c1,c1,0.9909704207195121,0.9449427772965465,0.9868169984559065,0.9717626982950425,0.7097418752915565
14,22,Intermediate,Intermediate,r3,r3,c1,c1,0.9907110711280772,0.9176985988698845,0.9880183706342858,0.9179687203723317,0.7078861061419202
14,42,Intermediate,Intermediate,r3,r3,c1,c1,0.9912216481474679,0.887582925747834,0.9856781033274303,0.898555794390891,0.6693830413637177
14,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9916130867113782,0.9388605467314978,0.9906699258153983,0.9704425602983161,0.6663588570469166
15,17,Intermediate,Intermediate,r3,r3,c1,c1,0.9845228870862844,0.8357187903845185,0.980963579229505,0.9411458380685981,0.6876884518989782
15,21,Intermediate,Intermediate,r3,r3,c1,c1,0.9885896686623986,0.8894243920711247,0.9864813044359801,0.9503291296565441,0.7045454545454546
15,22,Intermediate,Intermediate,r3,r3,c1,c1,0.9849194790692286,0.9075646844836626,0.983482567456162,0.9611790616891336,0.6944444444444444
15,42,Intermediate,Intermediate,r3,r3,c1,c1,0.9851775664860797,0.8509211354332886,0.9774214037410063,0.954179148960779,0.7573578595317725
15,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9882475726629734,0.8936680753016233,0.9859753898030326,0.9480269279455339,0.6393544639893793
17,21,Intermediate,Intermediate,r3,r3,c1,c1,0.9890942028237875,0.9227212665584342,0.9871321210515495,0.9620635101294819,0.7083046357615894
17,22,Intermediate,Intermediate,r3,r3,c1,c1,0.9863829396873844,0.8877660685097973,0.986295517016548,0.9375523782464181,0.6961804212039135
17,42,Intermediate,Intermediate,r3,r3,c1,c1,0.9887896758642942,0.9156522177119943,0.9837723874600279,0.9190947133416661,0.6804123711340206
17,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9880070002187493,0.9324355789910301,0.9873793106084731,0.9496596296368226,0.6908602150537635
18,32,Intermediate,Intermediate,r3,r3,c3,c3,0.988970103732478,0.8846640580614781,0.9867765756104392,0.9383679448837634,0.6477732793522267
18,34,Intermediate,Intermediate,r3,r3,c3,c3,0.9894473074427775,0.9292217428402784,0.9890723617126008,0.966584680759286,0.6904570800946266
18,35,Intermediate,Intermediate,r3,r3,c3,c3,0.9891400840151076,0.8917977776909274,0.9889402866686308,0.9627087343960881,0.6687833575934012
18,53,Intermediate,Intermediate,r3,r3,c3,c3,0.9878663084912247,0.87290837073113,0.9874095503900338,0.9291190937743858,0.7387781940894766
19,20,Intermediate,Intermediate,r3,r3,c2,c2,0.991864922420467,0.92707247247074,0.990033585458191,0.965592050710309,0.6858638743455497
19,23,Intermediate,Intermediate,r3,r3,c2,c2,0.9889706835801558,0.921576568592425,0.9882534518168402,0.9657450511033502,0.6989468799424194
19,31,Intermediate,Intermediate,r3,r3,c2,c2,0.9917815653645228,0.9116252916753145,0.990779945005876,0.9650488758633486,0.7189413118527043
19,44,Intermediate,Intermediate,r3,r3,c2,c2,0.9921804867453683,0.9168369274980233,0.9913153418420899,0.9690586734981615,0.7077922077922079
19,51,Intermediate,Intermediate,r3,r3,c2,c2,0.9888757475279099,0.9227875380019062,0.9860089816389193,0.953097700149834,0.690376569037657
20,23,Intermediate,Intermediate,r3,r3,c2,c2,0.9889462529725154,0.9074946532031521,0.9878994203230086,0.9745266069569476,0.6844444444444444
20,31,Intermediate,Intermediate,r3,r3,c2,c2,0.992016758828798,0.8804864715962388,0.9920453468535431,0.9639385341481523,0.700507614213198
20,44,Intermediate,Intermediate,r3,r3,c2,c2,0.9904885429612359,0.9073161997114861,0.9883166833025923,0.9714450548079451,0.730270294202289
20,51,Intermediate,Intermediate,r3,r3,c2,c2,0.9895587100150672,0.9079716799448934,0.9870380885549728,0.952210423330915,0.6899500968375815
21,22,Intermediate,Intermediate,r3,r3,c1,c1,0.9864284807951613,0.9249604498449122,0.9838613442471198,0.9538962815118818,0.6673582295988936
21,42,Intermediate,Intermediate,r3,r3,c1,c1,0.9888593185188391,0.9130272026729556,0.9856405089430449,0.929718703736894,0.671111111111111
21,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9903379264922068,0.9325287645212242,0.9889718996395235,0.9632873226225678,0.6443148688046647
22,42,Intermediate,Intermediate,r3,r3,c1,c1,0.9865994385477269,0.8549744367721559,0.983137728451726,0.9531513751726647,0.7071073008849558
22,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9879225833187605,0.9075966942217804,0.9864604140336322,0.9515207682984748,0.69375
23,31,Intermediate,Intermediate,r3,r3,c2,c2,0.9905936627353286,0.9271615961668135,0.9895588555252285,0.9683202579101889,0.6476714975845411
23,44,Intermediate,Intermediate,r3,r3,c2,c2,0.9928464734870186,0.9313449868592661,0.9914060002096652,0.9695347354121583,0.6805900621118013
23,51,Intermediate,Intermediate,r3,r3,c2,c2,0.9864390858662282,0.9106521598041174,0.9865657877310761,0.9600493783600851,0.6829318936877076
31,44,Intermediate,Intermediate,r3,r3,c2,c2,0.9895604507212428,0.9065834651872523,0.9882070720147774,0.9604885505519511,0.6837759801465149
31,51,Intermediate,Intermediate,r3,r3,c2,c2,0.9880376571202195,0.9190460845293282,0.9867154275084516,0.9305678266574438,0.6832579185520362
32,34,Intermediate,Intermediate,r3,r3,c3,c3,0.98665438441204,0.885150012357598,0.9855723102318855,0.942727377241794,0.6594769644384699
32,35,Intermediate,Intermediate,r3,r3,c3,c3,0.9869137697419432,0.883020905096512,0.9845351038524786,0.9545883982648079,0.660796155880797
32,53,Intermediate,Intermediate,r3,r3,c3,c3,0.986922467714645,0.8892899804318605,0.9846505377822595,0.9469679422047641,0.6578947368421053
34,35,Intermediate,Intermediate,r3,r3,c3,c3,0.990433292864478,0.8784816180252493,0.9854892245742706,0.9139843195432624,0.6553191489361703
34,53,Intermediate,Intermediate,r3,r3,c3,c3,0.9877359464005054,0.8671090010989206,0.9872327653169455,0.943388903527275,0.7293440908411772
35,53,Intermediate,Intermediate,r3,r3,c3,c3,0.9872600349560795,0.8642711839530931,0.9864110379547559,0.9511414084351882,0.7095565092989986
42,45,Intermediate,Intermediate,r3,r3,c1,c1,0.9879520757884711,0.9077165079435681,0.9854650753775841,0.9039035014975304,0.6485690031530439
44,51,Intermediate,Intermediate,r3,r3,c2,c2,0.987309009534498,0.8899348814224162,0.9891979616552071,0.9541743730631522,0.6459627329192545
