exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration,source_file
5,7,Beginner,Beginner,r1,r1,0.9869716720414302,0.835002984986456,0.9864972225426056,0.9063430156262504,0.7482014388489208,Beginner_r1_result.csv
5,8,Beginner,Beginner,r1,r1,0.987371507209004,0.8679428357587757,0.9852690232114256,0.9443836078287414,0.6956521739130435,Beginner_r1_result.csv
5,9,Beginner,Beginner,r1,r1,0.98557396339063,0.7797506926741378,0.9829929686150022,0.8860770975251872,0.7150537634408602,Beginner_r1_result.csv
7,8,Beginner,Beginner,r1,r1,0.9871728982925542,0.8694395756434449,0.9866592253101836,0.9210369086085136,0.75,Beginner_r1_result.csv
7,9,Beginner,Beginner,r1,r1,0.9865180074571156,0.8423974479196,0.98465824520905,0.8648954161045996,0.7194127998518107,Beginner_r1_result.csv
8,9,Beginner,Beginner,r1,r1,0.985302740070442,0.7778546960312608,0.9840483721200054,0.9034719877053404,0.75,Beginner_r1_result.csv
5,7,Beginner,Beginner,r2,r2,0.9885292352430488,0.9173760151875,0.9849438759580584,0.8966386714685799,0.703203607024205,Beginner_r2_result.csv
5,8,Beginner,Beginner,r2,r2,0.992121358939294,0.9479409320328172,0.9898423775625084,0.9569549725892732,0.687728102189781,Beginner_r2_result.csv
5,9,Beginner,Beginner,r2,r2,0.989951892839114,0.925562473363556,0.9877709497286744,0.9523366255517988,0.7259082512315271,Beginner_r2_result.csv
7,8,Beginner,Beginner,r2,r2,0.9903437240888264,0.9381859002952124,0.9894684778246472,0.8817382213835807,0.7300884955752213,Beginner_r2_result.csv
7,9,Beginner,Beginner,r2,r2,0.986214390632529,0.885088064788831,0.985914106614129,0.900212192334323,0.692353770260747,Beginner_r2_result.csv
8,9,Beginner,Beginner,r2,r2,0.992463853111581,0.9203614558198702,0.9906786642957652,0.9605012719997365,0.7002017608217168,Beginner_r2_result.csv
5,7,Beginner,Beginner,r3,r3,0.9885533243191904,0.8596964151767008,0.9871617669892988,0.8855629822623351,0.7198443579766537,Beginner_r3_result.csv
5,8,Beginner,Beginner,r3,r3,0.9868153876084966,0.8705650674797333,0.9879269973020024,0.9475743130337054,0.6680454842329141,Beginner_r3_result.csv
5,9,Beginner,Beginner,r3,r3,0.987918695314676,0.8251362372145861,0.98506220289566,0.8986098898929005,0.6990291262135923,Beginner_r3_result.csv
