exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
10,18,Intermediate,Intermediate,r1,r1,c1,c1,0.987264404049213,0.8795541976632284,0.9855216508504704,0.8147691642273278,0.7327935222672064,r1_result.csv
10,31,Intermediate,Intermediate,r1,r1,c1,c1,0.9865215809588708,0.9008835205314676,0.984309959530876,0.8783306599843212,0.7616946308724832,r1_result.csv
10,32,Intermediate,Intermediate,r1,r1,c1,c1,0.987255871806356,0.9101961805859304,0.9866669365184808,0.9526329927343864,0.7230046948356808,r1_result.csv
10,35,Intermediate,Intermediate,r1,r1,c1,c1,0.985317188820608,0.8094443018673929,0.9832154877950424,0.9395994708942874,0.7463414634146341,r1_result.csv
10,51,Intermediate,Intermediate,r1,r1,c1,c1,0.9872582993633228,0.907995072636726,0.9825875467408074,0.9429992659040408,0.7142857142857143,r1_result.csv
10,53,Intermediate,Intermediate,r1,r1,c1,c1,0.9890017420355496,0.9283821074730912,0.987903905428934,0.9570500641188002,0.7552848552476598,r1_result.csv
11,15,Intermediate,Intermediate,r1,r1,c3,c3,0.9834071742726704,0.6845360915645672,0.9748222654088572,0.8515209791693965,0.693459235375403,r1_result.csv
11,19,Intermediate,Intermediate,r1,r1,c3,c3,0.9839991539478656,0.7377721142326993,0.9784898299335496,0.9328961553391344,0.7304347826086957,r1_result.csv
11,20,Intermediate,Intermediate,r1,r1,c3,c3,0.9810267985410503,0.7883811044879374,0.9783810201935946,0.9264306332364542,0.7575757575757576,r1_result.csv
11,21,Intermediate,Intermediate,r1,r1,c3,c3,0.9822623282773316,0.723161952576239,0.9793789401478292,0.8744586957371598,0.726027397260274,r1_result.csv
11,22,Intermediate,Intermediate,r1,r1,c3,c3,0.9836639748262191,0.8496187713309996,0.9823852016878748,0.906026965407325,0.6981132075471699,r1_result.csv
11,23,Intermediate,Intermediate,r1,r1,c3,c3,0.9790884847806391,0.7643868499816494,0.978030879080234,0.9103090719122752,0.7471264367816093,r1_result.csv
11,44,Intermediate,Intermediate,r1,r1,c3,c3,0.9793403192973172,0.8389008360365966,0.9765200412661866,0.8899660229229798,0.7179581398083368,r1_result.csv
11,45,Intermediate,Intermediate,r1,r1,c3,c3,0.9819673144260654,0.8468990442964568,0.979431653295268,0.8897286860559037,0.7035573122529644,r1_result.csv
12,13,Intermediate,Intermediate,r1,r1,c2,c2,0.9845101075563908,0.7305223968607837,0.9832567602958934,0.8934745993712947,0.7201646090534979,r1_result.csv
12,14,Intermediate,Intermediate,r1,r1,c2,c2,0.9856067813611512,0.8264357282074098,0.9828351118860578,0.8404501655330853,0.7029702970297029,r1_result.csv
