exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
11,12,Intermediate,Intermediate,r2,r2,c1,c1,0.9891190388519716,0.9117518854729157,0.9891824367139428,0.9552735793903367,0.752851711026616
11,5,Intermediate,Beginner,r2,r2,c1,c1,0.9899186496994469,0.9211267648265272,0.9861361798482237,0.9333947339888577,0.7786848072562358
11,8,Intermediate,Beginner,r2,r2,c1,c1,0.9920419603601149,0.9395683628858675,0.991619613510874,0.9111363938757363,0.71176005143168
11,9,Intermediate,Beginner,r2,r2,c1,c1,0.991229442673847,0.9021270554241654,0.9881258794449042,0.9563869447827277,0.738206497552292
12,5,Intermediate,Beginner,r2,r2,c1,c1,0.9901105767617153,0.9225452327096662,0.9881594106516142,0.9436303348556837,0.7330634278002699
12,8,Intermediate,Beginner,r2,r2,c1,c1,0.9914201061860575,0.9305251036139511,0.9914188415835287,0.9553810675221692,0.7222222222222223
12,9,Intermediate,Beginner,r2,r2,c1,c1,0.9905672892244239,0.9007526665627902,0.9885935154677172,0.9617535685556878,0.7552742616033755
6,7,Intermediate,Beginner,r2,r2,c3,c3,0.9857308344888847,0.8802065307877559,0.9832231716139943,0.9303572711436972,0.6549858414239482
5,8,Beginner,Beginner,r2,r2,c1,c1,0.992121358939294,0.9479409320328172,0.9898423775625085,0.9569549725892733,0.687728102189781
5,9,Beginner,Beginner,r2,r2,c1,c1,0.9899518928391139,0.9255624733635561,0.9877709497286745,0.9523366255517987,0.7259082512315271
8,9,Beginner,Beginner,r2,r2,c1,c1,0.992463853111581,0.9203614558198702,0.9906786642957651,0.9605012719997363,0.7002017608217168
