exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration
10,5,Intermediate,Beginner,r2,r2,0.990556486483709,0.9294791564600907,0.9869283101571776,0.9306403851998917,0.7428571428571429
10,7,Intermediate,Beginner,r2,r2,0.9885241964635414,0.9160756203490287,0.9886185378675874,0.9038295587071461,0.7259337551989677
10,8,Intermediate,Beginner,r2,r2,0.9925149102232617,0.9443912423278783,0.990109742471554,0.9316978655150704,0.7737075576319576
10,9,Intermediate,Beginner,r2,r2,0.9908458986818379,0.9019260295558525,0.9894124434185603,0.9409236754321622,0.7468354430379747
11,5,Intermediate,Beginner,r2,r2,0.9899186496994469,0.9211267648265272,0.9861361798482237,0.9333947339888577,0.7786848072562358
11,7,Intermediate,Beginner,r2,r2,0.9883169473162913,0.914186387975781,0.9862095355395879,0.9156931712630452,0.7037037037037037
11,8,Intermediate,Beginner,r2,r2,0.9920419603601149,0.9395683628858675,0.991619613510874,0.9111363938757363,0.71176005143168
11,9,Intermediate,Beginner,r2,r2,0.991229442673847,0.9021270554241654,0.9881258794449042,0.9563869447827277,0.738206497552292
12,5,Intermediate,Beginner,r2,r2,0.9901105767617153,0.9225452327096662,0.9881594106516142,0.9436303348556837,0.7330634278002699
12,7,Intermediate,Beginner,r2,r2,0.9884623394703014,0.9131219934894664,0.9861093680006752,0.8905240228185399,0.6986524941412788
12,8,Intermediate,Beginner,r2,r2,0.9914201061860575,0.9305251036139511,0.9914188415835287,0.9553810675221692,0.7222222222222223
12,9,Intermediate,Beginner,r2,r2,0.9905672892244239,0.9007526665627902,0.9885935154677172,0.9617535685556878,0.7552742616033755
6,5,Intermediate,Beginner,r2,r2,0.987137266276818,0.8977705467681532,0.984552677487516,0.8412126913103593,0.7205240174672489
6,7,Intermediate,Beginner,r2,r2,0.9857308344888847,0.8802065307877559,0.9832231716139943,0.9303572711436972,0.6549858414239482
6,8,Intermediate,Beginner,r2,r2,0.9879118399852538,0.8951115529784067,0.9874732451427962,0.8818883276171569,0.6739811912225705
6,9,Intermediate,Beginner,r2,r2,0.9872978709726071,0.9068296888740834,0.982371068666193,0.8846489082526671,0.685589519650655
