exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration
10,10,Intermediate,Intermediate,r1,r2,0.9896474925358406,0.9384012291952966,0.9870976869871243,0.8216718203518046,0.7430608607079195
10,11,Intermediate,Intermediate,r1,r2,0.9877716723823228,0.9243474650524344,0.9842338371058076,0.8354031714457706,0.7530364372469636
10,12,Intermediate,Intermediate,r1,r2,0.9869401338046077,0.921725064385463,0.9851618139341911,0.823531622196701,0.7731019978969507
10,6,Intermediate,Intermediate,r1,r2,0.987435158666091,0.8713385379726903,0.9854086584134361,0.8928387424617825,0.7231404958677685
11,10,Intermediate,Intermediate,r1,r2,0.9868574899210661,0.8545545303825738,0.9842790251235054,0.8437500963377846,0.7435897435897435
11,11,Intermediate,Intermediate,r1,r2,0.9867179365645093,0.8451837135778233,0.9818670950346648,0.8770089919386748,0.7131829410055217
11,12,Intermediate,Intermediate,r1,r2,0.9851626044483677,0.8580881628819778,0.984903908029209,0.8394116338268937,0.6945480819758276
11,6,Intermediate,Intermediate,r1,r2,0.9841157447926785,0.8236704472174303,0.9803800356941469,0.8484633775769026,0.6618172640080768
12,10,Intermediate,Intermediate,r1,r2,0.9906418878410301,0.9198427780079181,0.9872437466680696,0.8533834585768455,0.7808219178082192
12,11,Intermediate,Intermediate,r1,r2,0.9894859221328464,0.9253278363896316,0.9871173990670736,0.8701860286986055,0.7305565157276184
12,12,Intermediate,Intermediate,r1,r2,0.9881287631612976,0.8973291277911883,0.9854337563066952,0.8818601970302112,0.7479452054794522
12,6,Intermediate,Intermediate,r1,r2,0.9852635372682527,0.8932026404344346,0.9790178504269822,0.8592933843393167,0.6879908376963351
6,10,Intermediate,Intermediate,r1,r2,0.9853109322142994,0.8661070387033751,0.9814346380762881,0.9039549878337279,0.7227028066128413
6,11,Intermediate,Intermediate,r1,r2,0.9864627303234815,0.8671542782778081,0.9836607644874412,0.9355198027912774,0.64321608040201
6,12,Intermediate,Intermediate,r1,r2,0.9854074577419399,0.8461974085865329,0.9839879066801736,0.859849671332347,0.6810035842293907
6,6,Intermediate,Intermediate,r1,r2,0.985222618147156,0.8420688587505822,0.9841783358781354,0.9212519144346976,0.7058894920340704
