exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration,source_file
5,5,Beginner,Beginner,r1,r2,0.988864276916396,0.9028941633202784,0.9862488267111512,0.9182870243329608,0.7548285048285048,Beginner_result.csv
5,7,Beginner,Beginner,r1,r2,0.986987987792448,0.8494706837950873,0.9855155048177056,0.9188018467599778,0.7025862068965517,Beginner_result.csv
5,8,Beginner,Beginner,r1,r2,0.9908304542574414,0.9062374475873604,0.9885110907285342,0.8997147707357954,0.7,Beginner_result.csv
5,9,Beginner,Beginner,r1,r2,0.9878308528140382,0.8417388223893718,0.9863990400929116,0.9239649810692012,0.7023719676549866,Beginner_result.csv
7,5,Beginner,Beginner,r1,r2,0.9884477443414476,0.8743164209212747,0.9862503307959132,0.9378714611181596,0.6956462585034013,Beginner_result.csv
7,7,Beginner,Beginner,r1,r2,0.9863780225338477,0.8990178001529395,0.9851745336291317,0.8909524926177311,0.7129909365558912,Beginner_result.csv
7,8,Beginner,Beginner,r1,r2,0.989853310616398,0.894443300867634,0.9902052259977324,0.8571686670308788,0.724324794781589,Beginner_result.csv
7,9,Beginner,Beginner,r1,r2,0.9885042723097772,0.8651528542699067,0.986934725485918,0.91564266459281,0.7469879518072289,Beginner_result.csv
8,5,Beginner,Beginner,r1,r2,0.9882899687613712,0.8768836933103652,0.9852654093276344,0.9107535576095416,0.6919191919191919,Beginner_result.csv
8,7,Beginner,Beginner,r1,r2,0.9849829063356058,0.8614300187562843,0.9838584671096712,0.9120669868554434,0.6824080104200586,Beginner_result.csv
8,8,Beginner,Beginner,r1,r2,0.9894345125042516,0.9069454106692072,0.9871568567527512,0.8992705043178671,0.6891891891891891,Beginner_result.csv
8,9,Beginner,Beginner,r1,r2,0.989144444707048,0.8721281311679219,0.9873519944539324,0.8599874844961612,0.7455621301775148,Beginner_result.csv
9,5,Beginner,Beginner,r1,r2,0.9871257588651424,0.8754410555793237,0.9851194663200666,0.8448510738778561,0.7095048102021031,Beginner_result.csv
9,7,Beginner,Beginner,r1,r2,0.984266727546942,0.8419268494311305,0.9807978436545124,0.8980844763855439,0.7017543859649122,Beginner_result.csv
9,8,Beginner,Beginner,r1,r2,0.9874903312058748,0.8279745637205871,0.9886545466281692,0.8462852715487716,0.7131772165980643,Beginner_result.csv
9,9,Beginner,Beginner,r1,r2,0.9871296611667776,0.8532223042882371,0.9865906902110402,0.8902850992659223,0.7370892018779343,Beginner_result.csv
10,10,Intermediate,Intermediate,r1,r2,0.9896474925358406,0.9384012291952966,0.9870976869871244,0.8216718203518046,0.7430608607079195,Intermediate_result.csv
10,11,Intermediate,Intermediate,r1,r2,0.9877716723823228,0.9243474650524344,0.9842338371058076,0.8354031714457706,0.7530364372469636,Intermediate_result.csv
10,12,Intermediate,Intermediate,r1,r2,0.9869401338046077,0.921725064385463,0.9851618139341912,0.823531622196701,0.7731019978969507,Intermediate_result.csv
10,6,Intermediate,Intermediate,r1,r2,0.987435158666091,0.8713385379726903,0.985408658413436,0.8928387424617825,0.7231404958677685,Intermediate_result.csv
11,10,Intermediate,Intermediate,r1,r2,0.986857489921066,0.8545545303825738,0.9842790251235054,0.8437500963377846,0.7435897435897435,Intermediate_result.csv
11,11,Intermediate,Intermediate,r1,r2,0.9867179365645092,0.8451837135778233,0.9818670950346648,0.8770089919386748,0.7131829410055217,Intermediate_result.csv
11,12,Intermediate,Intermediate,r1,r2,0.9851626044483676,0.8580881628819778,0.984903908029209,0.8394116338268937,0.6945480819758276,Intermediate_result.csv
11,6,Intermediate,Intermediate,r1,r2,0.9841157447926784,0.8236704472174303,0.9803800356941468,0.8484633775769026,0.6618172640080768,Intermediate_result.csv
12,10,Intermediate,Intermediate,r1,r2,0.99064188784103,0.919842778007918,0.9872437466680696,0.8533834585768455,0.7808219178082192,Intermediate_result.csv
12,11,Intermediate,Intermediate,r1,r2,0.9894859221328464,0.9253278363896316,0.9871173990670736,0.8701860286986055,0.7305565157276184,Intermediate_result.csv
12,12,Intermediate,Intermediate,r1,r2,0.9881287631612976,0.8973291277911883,0.9854337563066952,0.8818601970302112,0.7479452054794522,Intermediate_result.csv
12,6,Intermediate,Intermediate,r1,r2,0.9852635372682528,0.8932026404344346,0.9790178504269822,0.8592933843393167,0.6879908376963351,Intermediate_result.csv
6,10,Intermediate,Intermediate,r1,r2,0.9853109322142994,0.8661070387033751,0.981434638076288,0.903954987833728,0.7227028066128413,Intermediate_result.csv
6,11,Intermediate,Intermediate,r1,r2,0.9864627303234816,0.8671542782778081,0.9836607644874412,0.9355198027912774,0.64321608040201,Intermediate_result.csv
6,12,Intermediate,Intermediate,r1,r2,0.98540745774194,0.8461974085865329,0.9839879066801736,0.859849671332347,0.6810035842293907,Intermediate_result.csv
6,6,Intermediate,Intermediate,r1,r2,0.985222618147156,0.8420688587505822,0.9841783358781354,0.9212519144346976,0.7058894920340704,Intermediate_result.csv
