experiment_id,experiment_language,expertise_experiment_language
10,Java,low
13,Java,low
21,Java,low
27,Java,low
29,Java,low
31,Java,low
34,Java,low
35,Java,low
37,Java,low
41,Java,low
43,Java,low
44,Java,low
56,Java,low
60,Java,low
63,Java,low
64,Java,low
65,Java,low
67,Java,low
71,Java,low
74,Java,low
77,Java,low
78,Java,low
79,Java,low
94,Java,low
99,Java,low
101,Java,low
104,Java,low
107,Java,low
114,Java,low
124,Java,low
126,Java,low
128,Java,low
132,Java,low
138,Java,low
139,Java,low
140,Java,low
162,Java,low
164,Java,low
170,Java,low
172,Java,low
176,Java,low
179,Java,low
180,Java,low
182,Java,low
183,Java,low
186,Java,low
200,Java,low
208,Java,low
