experiment_id,experiment_language,expertise_experiment_language
4,Java,medium
6,Java,medium
14,Java,medium
15,Java,medium
16,Java,medium
17,Java,medium
18,Java,medium
19,Java,medium
20,Java,medium
24,Java,medium
25,Java,medium
32,Java,medium
33,Java,medium
40,Java,medium
42,Java,medium
50,Java,medium
51,Java,medium
53,Java,medium
54,Java,medium
55,Java,medium
57,Java,medium
58,Java,medium
61,Java,medium
62,Java,medium
66,Java,medium
70,Java,medium
72,Java,medium
73,Java,medium
75,Java,medium
81,Java,medium
83,Java,medium
84,Java,medium
88,Java,medium
89,Java,medium
91,Java,medium
97,Java,medium
105,Java,medium
108,Java,medium
112,Java,medium
115,Java,medium
117,Java,medium
120,Java,medium
121,Java,medium
125,Java,medium
133,Java,medium
135,Java,medium
142,Java,medium
143,Java,medium
145,Java,medium
147,Java,medium
151,Java,medium
155,Java,medium
158,Java,medium
166,Java,medium
168,Java,medium
169,Java,medium
171,Java,medium
185,Java,medium
190,Java,medium
191,Java,medium
192,Java,medium
194,Java,medium
197,Java,medium
202,Java,medium
203,Java,medium
206,Java,medium
207,Java,medium
210,Java,medium
212,Java,medium
214,Java,medium
215,Java,medium
